pasillo,items,uniqueItems,satOrders
0,137,24,66
1,14,6,6
2,188,98,108
3,221,99,109
4,5,1,1
5,90,43,40
6,79,19,27
7,240,114,127
8,348,111,136
9,255,103,114
10,26,12,18
11,162,43,42
12,218,43,62
13,274,117,129
14,210,92,117
15,33,7,15
16,180,94,101
17,60,13,20
18,76,35,38
19,161,24,26
20,203,95,112
21,223,110,122
22,283,55,71
23,28,3,8
24,219,93,110
25,29,12,13
26,130,49,49
27,7,6,5
28,453,44,81
29,195,96,114
30,207,101,106
31,311,58,83
32,27,6,6
33,289,112,117
34,98,8,16
35,50,17,49
36,53,12,20
37,310,126,150
38,70,30,38
39,217,99,107
40,156,84,116
41,46,7,6
42,76,15,23
43,89,31,30
44,124,58,58
45,196,101,110
46,26,6,6
47,187,87,76
48,144,30,61
49,187,88,98
50,278,107,118
51,241,97,113
52,20,7,11
53,201,36,35
54,153,29,67
55,268,107,138
56,224,99,118
57,8,3,3
58,276,97,121
59,36,14,20
60,62,36,36
61,206,32,45
62,261,96,123
63,218,10,17
64,227,89,97
65,196,93,91
66,51,17,18
67,101,39,60
68,203,42,46
69,294,101,103
70,226,110,114
71,391,47,92
72,40,8,9
73,177,84,92
74,79,17,20
75,93,36,68
76,198,26,65
77,133,34,36
78,237,125,136
79,242,85,95
80,316,68,89
81,7,3,3
82,238,78,82
83,9,4,4
84,47,14,23
85,28,17,21
86,253,96,117
87,231,93,99
88,13,3,3
89,143,70,70
