pasillo,items,uniqueItems,satOrders
0,1023,120,2
1,1489,162,4
2,878,107,2
3,627,83,0
4,6218,248,10
5,1085,115,1
6,709,102,1
7,3957,319,5
8,278,63,2
9,292,47,0
10,429,23,0
11,6,1,1
12,1,1,0
13,1184,123,1
14,455,106,1
15,1251,125,0
16,1099,101,0
17,701,100,0
18,647,98,2
19,2086,188,5
20,5447,254,8
21,924,137,4
22,802,89,3
23,556,26,2
24,7,2,0
25,7,2,0
26,1435,136,2
27,1239,136,3
28,1302,119,4
29,749,103,2
30,1049,118,3
31,645,94,1
32,5084,355,9
33,643,111,4
34,505,59,1
35,2387,2,0
36,175,1,0
37,1,1,0
38,1,1,0
39,2,2,0
40,1441,137,3
41,1554,155,4
42,1450,109,3
43,1218,116,2
44,5745,269,16
45,651,111,2
46,768,87,1
47,4223,350,5
48,612,93,1
49,680,35,0
50,251,38,0
51,9,1,0
52,10,3,0
53,921,132,2
54,1629,21,0
55,1188,133,7
56,1342,138,1
57,658,49,1
58,654,79,2
59,2001,183,6
60,4448,250,4
61,946,114,2
62,574,77,2
63,1205,40,3
64,1003,40,0
65,1,1,0
66,901,113,2
67,1714,130,2
68,1010,121,2
69,1196,115,2
70,814,112,1
71,633,91,0
72,5497,264,1
73,3255,177,2
74,672,105,2
75,884,76,0
76,8,1,0
77,1281,150,4
78,1169,120,5
79,1177,145,4
80,1016,115,4
81,4616,268,12
82,1297,100,1
83,979,106,0
84,6144,397,7
85,352,36,2
86,337,72,0
87,499,96,3
88,2,1,0
89,1,1,0
90,1286,73,0
91,1129,133,1
92,1113,134,8
93,435,64,1
94,876,107,2
95,2143,135,1
96,5691,275,12
97,1015,110,2
98,805,81,1
99,4281,276,4
100,250,56,0
101,1467,36,0
102,2,1,0
103,5,2,0
104,10,3,0
105,1154,122,2
106,51,12,0
107,1437,124,2
108,1228,102,2
109,835,106,4
110,1069,101,0
111,4557,222,7
112,855,110,6
113,627,93,2
114,4715,300,3
115,1063,2,0
116,9,2,0
117,43,3,0
118,1033,122,3
119,1754,139,2
120,914,110,0
121,840,128,3
122,5885,221,9
123,1246,122,2
124,798,108,3
125,3151,209,8
126,933,100,2
127,376,28,0
128,499,48,1
129,1,1,0
130,3,1,0
131,1172,124,3
132,884,126,3
133,1170,129,0
134,818,106,2
135,647,106,1
136,6906,284,17
137,841,103,1
138,4908,300,7
139,277,64,1
140,257,60,2
141,194,14,0
142,1,1,0
143,7,2,0
144,16,1,0
145,825,115,4
146,34,11,1
147,850,94,0
148,1059,128,4
149,961,118,3
150,838,93,4
151,5506,240,8
152,953,120,3
153,746,70,0
154,581,42,0
155,1,1,0
156,8,3,0
157,1070,148,1
158,1484,126,4
159,1143,124,2
160,653,87,1
161,1023,119,2
162,713,101,2
163,3304,211,19
164,1214,82,0
165,502,65,1
166,253,16,0
167,5,2,0
