pasillo,items,uniqueItems,satOrders
0,184,71,76
1,357,174,245
2,489,184,215
3,286,122,124
4,303,83,93
5,304,77,79
6,76,22,24
7,98,33,39
8,216,85,92
9,142,61,61
10,298,133,146
11,485,196,253
12,45,19,16
13,228,88,99
14,235,117,122
15,49,11,16
16,109,62,94
17,292,61,89
18,382,170,202
19,223,84,92
20,149,80,78
21,149,34,110
22,505,5,7
23,2,1,2
24,34,13,18
25,294,36,41
26,384,175,218
27,284,113,119
28,369,158,200
29,157,74,74
30,202,64,62
31,251,77,82
32,422,93,107
33,115,31,36
34,329,148,163
35,364,136,151
36,346,176,209
37,88,48,48
38,62,28,22
39,167,81,84
40,201,75,78
41,36,11,16
42,110,45,63
43,225,117,120
44,330,126,133
45,362,148,204
46,150,82,81
47,170,40,123
48,222,3,5
49,50,16,23
50,562,14,18
51,209,86,79
52,152,83,106
53,436,187,258
54,306,144,156
55,263,58,68
56,359,91,108
57,497,85,112
58,417,64,76
59,256,120,131
60,192,93,88
61,241,102,147
62,216,94,104
63,159,66,62
64,188,90,97
65,52,26,28
66,38,10,17
67,260,105,106
68,344,150,160
69,372,189,231
70,174,77,86
71,1030,6,11
72,12,3,5
73,64,18,25
74,997,47,68
75,264,98,103
76,476,209,262
77,82,46,49
78,344,77,79
79,312,120,141
80,392,78,77
81,241,84,98
82,212,101,105
83,190,105,115
84,363,142,176
85,244,117,114
86,219,82,84
87,205,115,139
88,59,21,18
89,50,10,16
90,219,117,128
91,338,132,178
92,173,83,93
93,253,101,98
94,633,5,9
95,4,1,2
96,39,14,19
97,563,37,56
98,530,239,298
99,58,27,25
100,122,62,64
101,526,114,127
102,220,88,96
103,375,77,87
104,267,122,132
105,234,111,117
106,317,145,187
107,286,125,145
108,273,87,95
109,228,76,76
110,105,27,23
111,293,149,179
112,225,84,94
113,231,86,103
114,169,87,75
115,580,7,11
116,4,1,1
117,46,12,20
118,56,43,52
119,171,50,45
120,183,81,73
121,462,94,112
122,222,79,96
123,94,21,26
124,374,160,198
125,287,115,130
126,206,99,106
127,214,103,104
128,233,97,97
129,316,94,102
130,101,59,55
131,218,109,131
132,193,89,94
133,272,105,125
134,190,66,62
135,6,2,2
136,13,1,1
137,175,94,97
138,36,14,16
139,255,42,53
140,401,182,209
141,223,90,96
142,134,58,66
143,269,33,37
144,159,77,103
145,268,126,130
146,202,91,95
147,290,131,173
148,275,119,141
149,378,168,189
150,271,72,86
151,139,56,63
152,205,88,98
153,152,82,86
154,217,65,67
155,395,171,222
156,195,75,73
157,12,3,2
158,11,1,2
159,147,73,70
160,159,75,76
161,44,20,27
162,83,57,85
163,237,44,51
164,160,70,69
165,154,42,39
166,126,34,120
167,99,37,55
168,294,110,119
169,210,105,107
170,366,141,166
171,279,113,121
172,155,76,75
173,268,147,148
174,198,86,90
175,285,118,135
176,201,81,87
177,310,151,193
178,249,106,119
179,219,81,92
180,6,2,1
181,26,1,1
182,192,97,93
183,143,76,78
184,70,33,33
185,4,3,3
186,39,12,14
187,79,44,63
188,134,65,61
189,349,159,180
190,133,38,111
191,178,48,118
192,203,44,71
193,13,7,14
194,156,58,60
195,207,100,102
196,298,118,135
197,325,157,175
198,140,64,62
199,365,169,193
200,168,72,82
201,262,90,97
202,291,134,166
203,197,98,110
204,188,93,91
205,133,57,61
206,16,2,8
207,141,77,85
208,144,73,68
209,74,31,25
210,16,5,5
211,34,16,24
212,83,51,66
213,316,132,173
214,297,67,145
215,171,43,96
216,211,40,101
217,92,32,51
218,59,26,34
219,219,107,111
220,285,145,191
221,148,47,47
222,391,145,157
223,166,53,60
224,84,63,56
225,301,134,147
226,236,94,101
227,141,58,57
228,228,116,120
229,238,111,114
230,332,167,220
231,30,2,3
232,1,1,3
233,150,63,60
234,169,92,101
235,71,25,23
236,9,3,5
237,31,16,23
238,72,47,66
239,285,66,123
240,124,38,50
241,129,34,84
242,275,60,116
243,309,66,85
244,72,31,41
245,321,124,131
246,140,56,43
247,410,142,202
248,335,125,152
249,282,160,194
250,155,73,71
251,211,88,105
252,149,76,78
253,182,89,98
254,406,159,197
255,357,153,174
256,94,48,50
257,208,82,92
258,269,76,80
259,60,20,17
260,9,6,8
261,37,16,22
262,64,50,70
263,309,55,113
264,278,62,152
265,266,66,133
266,150,27,74
267,229,44,74
268,79,31,33
269,211,72,79
270,287,132,138
271,341,137,178
272,225,127,149
273,176,79,77
274,430,164,188
275,162,73,69
276,213,101,120
277,213,107,112
278,142,76,71
279,282,148,181
280,251,116,132
281,293,2,7
282,135,64,62
283,121,60,68
284,90,31,25
285,24,6,11
286,37,18,19
287,59,43,59
288,237,59,121
289,278,56,116
290,143,24,75
291,213,61,139
292,299,69,125
293,62,37,51
294,323,143,162
295,202,60,67
296,231,107,124
297,193,101,100
298,273,137,155
299,220,84,83
300,113,44,44
301,109,50,45
302,307,121,125
303,165,87,93
304,372,143,185
305,195,101,106
306,179,75,85
307,129,65,66
308,68,37,32
309,20,7,9
310,29,16,24
311,72,56,78
312,187,83,83
313,301,88,171
314,318,87,172
315,163,32,76
316,404,76,133
317,65,35,43
318,193,96,101
319,118,55,56
320,395,151,210
321,282,133,153
322,326,158,170
323,118,58,61
324,166,65,62
325,59,23,23
326,182,84,84
327,389,160,215
328,270,126,136
329,222,107,106
330,287,114,118
331,99,27,23
332,148,55,58
333,10,4,6
334,108,21,26
335,73,41,56
336,196,83,88
337,204,100,108
338,335,80,182
339,187,40,53
340,412,76,159
341,70,38,58
342,327,132,141
343,159,63,53
344,368,175,210
345,338,149,182
346,376,155,170
347,125,60,56
348,78,44,34
349,59,21,24
350,391,172,199
351,241,139,143
352,228,96,105
353,193,101,109
354,68,35,28
355,202,85,103
356,119,51,45
357,7,3,4
358,42,19,26
359,68,42,63
360,226,109,114
361,348,160,192
362,217,111,119
363,142,43,61
364,402,86,153
365,158,45,70
366,345,159,224
367,421,176,204
368,139,67,67
369,282,109,116
370,313,161,178
371,91,32,37
372,97,44,40
373,75,31,32
374,273,146,203
375,214,97,112
376,304,96,105
377,204,96,106
378,48,28,22
379,235,69,83
