pasillo,items,uniqueItems,satOrders
0,2340,341,645
1,1283,178,286
2,1580,261,493
3,992,153,193
4,1429,262,515
5,2364,106,212
6,426,71,99
7,501,59,140
8,543,151,292
9,263,61,124
10,1186,80,118
11,100,1,3
12,19,7,19
13,8,6,7
14,4,1,3
15,884,227,406
16,1108,145,261
17,2322,321,563
18,1401,198,285
19,1012,139,159
20,1189,254,387
21,1327,260,472
22,2769,75,138
23,593,52,82
24,270,57,89
25,87,16,16
26,28,1,1
27,20,9,21
28,16,6,9
29,1121,172,271
30,2034,302,571
31,2237,323,596
32,950,137,190
33,1608,251,427
34,789,131,180
35,1132,188,454
36,238,50,77
37,584,56,111
38,2387,2,4
39,94,10,19
40,18,11,43
41,18,15,20
42,2274,333,640
43,1234,176,301
44,1060,154,219
45,1871,299,449
46,1355,242,483
47,384,60,119
48,1559,103,196
49,256,54,106
50,1425,66,92
51,946,59,158
52,919,193,352
53,18,5,14
54,5,2,3
55,22,9,37
56,811,165,266
57,2834,53,172
58,2124,353,651
59,886,148,223
60,489,110,159
61,830,102,116
62,1601,106,202
63,1761,305,510
64,305,69,120
65,588,56,86
66,898,112,249
67,94,18,26
68,2,2,2
69,81,2,6
70,28,5,18
71,7,6,8
72,4,3,13
73,2160,318,572
74,1056,160,242
75,1878,313,565
76,1413,190,300
77,1421,259,496
78,748,133,226
79,1360,266,511
80,710,53,83
81,955,49,104
82,324,64,89
83,6,3,14
84,3,2,2
85,2158,351,624
86,971,167,292
87,1067,157,225
88,1905,296,562
89,1807,103,185
90,487,71,107
91,2105,298,558
92,1009,217,457
93,939,61,98
94,628,56,93
95,404,57,120
96,20,5,24
97,2,2,3
98,2,2,2
99,960,126,187
100,866,147,243
101,1776,312,546
102,1472,265,439
103,543,73,78
104,505,62,112
105,1564,278,580
106,1924,119,258
107,1102,32,61
108,1377,56,136
109,470,129,281
110,206,32,84
111,10,1,1
112,52,11,23
113,19,9,13
114,5,3,3
115,179,55,81
116,1002,144,203
117,2362,321,589
118,1310,166,275
119,1673,279,538
120,921,127,170
121,1184,50,85
122,1551,234,449
123,301,73,110
124,691,91,159
125,1,1,1
126,122,1,36
127,30,3,7
128,14,7,9
129,1091,158,252
130,2307,304,549
131,1242,182,262
132,1533,253,474
133,612,81,133
134,1698,277,502
135,1864,101,206
136,1163,76,120
137,1692,167,414
138,1302,221,461
139,320,63,118
140,8,1,2
141,54,5,11
142,14,9,12
143,6,4,4
144,1880,308,625
145,1293,176,269
146,1618,268,526
147,866,145,206
148,418,65,101
149,1371,288,562
150,2425,112,183
151,463,119,170
152,552,36,55
153,610,154,365
154,374,27,49
155,14,6,14
156,14,7,15
157,17,6,14
158,901,157,278
159,144,59,82
160,1948,323,633
161,1187,187,351
162,1636,285,498
163,829,115,141
164,1434,242,495
165,1110,59,146
166,121,16,17
167,305,60,94
168,2,1,1
169,14,10,22
170,13,9,12
171,1111,172,269
172,1959,305,559
173,1020,172,259
174,1663,280,562
175,1687,285,532
176,613,81,122
177,1255,197,457
178,1708,155,373
179,727,73,123
180,430,66,118
181,8,3,4
182,44,5,5
183,13,3,4
