pasillo,items,uniqueItems,satOrders
0,209,44,45
1,264,129,138
2,271,118,132
3,132,54,67
4,111,36,38
5,50,17,15
6,117,29,30
7,26,13,13
8,159,63,63
9,186,89,90
10,385,145,162
11,92,40,39
12,84,33,31
13,265,84,92
14,83,40,42
15,33,12,17
16,138,73,114
17,166,59,63
18,253,101,101
19,137,45,41
20,170,34,65
21,70,17,51
22,41,16,25
23,68,31,41
24,259,128,144
25,184,55,60
26,131,61,66
27,344,119,137
28,77,25,27
29,227,41,44
30,122,37,42
31,76,23,20
32,294,79,93
33,283,101,107
34,217,90,96
35,118,46,46
36,5,1,1
37,44,29,25
38,267,97,105
39,96,54,49
40,9,4,4
41,61,51,72
42,151,75,86
43,298,83,89
44,69,38,31
45,199,89,99
46,109,31,62
47,11,1,1
48,30,14,18
49,324,10,15
50,263,97,118
51,257,108,123
52,149,62,62
53,116,74,83
54,103,27,26
55,202,56,57
56,193,42,43
57,138,33,42
58,128,58,51
59,237,113,124
60,101,39,46
61,229,94,102
62,222,84,88
63,96,41,38
64,62,32,27
65,9,6,8
66,121,50,51
67,181,81,88
68,120,60,58
69,190,95,99
70,9,1,1
71,93,3,3
72,33,14,19
73,73,32,42
74,233,107,124
75,225,97,104
76,71,36,37
77,54,24,27
78,101,37,38
79,300,38,47
80,130,33,35
81,107,57,58
82,163,56,60
83,259,125,135
84,174,65,66
85,68,36,35
86,60,27,25
87,198,71,75
88,19,9,12
89,223,108,124
90,184,63,74
91,119,57,57
92,159,54,61
93,50,11,15
94,102,35,55
95,67,37,42
96,234,94,107
97,168,75,74
98,365,49,62
99,82,37,33
100,72,19,20
101,107,55,57
102,200,101,107
103,260,101,117
104,126,71,77
105,62,31,28
106,233,95,110
107,175,45,51
108,219,74,80
109,130,43,47
110,245,94,105
111,122,46,40
112,43,1,1
113,32,17,27
114,755,43,58
115,105,44,41
116,147,35,52
117,262,28,35
118,98,42,51
119,33,7,12
120,137,54,58
121,213,105,118
122,209,99,107
123,150,51,57
124,152,58,56
125,246,83,80
126,93,52,56
127,153,68,73
128,303,102,113
129,182,61,56
130,71,45,36
131,27,2,2
132,127,68,71
133,60,20,28
134,91,40,62
135,149,68,72
136,250,113,138
137,200,17,36
138,128,35,37
139,114,46,50
140,114,53,58
141,233,111,128
142,89,53,51
143,184,89,103
144,116,66,68
145,76,28,27
146,179,79,81
147,226,90,96
148,145,71,80
149,161,79,79
150,172,69,75
151,122,46,39
152,147,2,2
153,140,79,76
154,99,43,43
155,4,1,5
156,28,15,23
157,90,49,64
158,107,52,57
159,142,30,53
160,86,19,37
161,126,14,34
162,139,42,44
163,233,94,97
164,104,48,47
165,308,109,122
166,167,60,66
167,121,58,58
168,241,89,94
169,199,74,80
170,82,39,40
171,212,90,102
172,101,47,60
173,122,45,54
174,77,38,31
175,13,1,1
176,101,60,59
177,112,56,55
178,136,58,51
179,5,3,3
180,40,13,14
181,71,45,55
182,288,116,116
183,127,33,59
184,109,35,34
185,83,17,21
186,94,33,33
187,21,6,6
188,192,75,71
189,111,39,41
190,257,98,114
191,259,114,125
192,152,52,53
193,138,47,43
194,185,86,94
195,187,64,65
196,215,69,71
197,242,99,121
198,116,46,43
199,111,54,54
200,127,55,47
201,154,73,87
202,102,53,59
203,20,7,9
204,23,8,12
205,67,44,65
206,129,34,61
207,228,36,58
208,169,86,89
209,91,24,33
210,174,54,68
211,15,12,12
212,128,59,58
213,245,114,135
214,138,66,71
215,206,95,104
216,102,56,55
217,232,91,105
218,248,61,67
219,131,43,46
220,267,109,116
221,257,88,86
222,81,51,51
223,186,78,86
224,17,2,2
225,88,40,42
226,175,67,83
227,65,26,28
228,47,15,23
229,81,39,68
230,154,27,52
231,117,30,45
232,72,26,53
233,105,27,51
234,241,49,84
235,34,22,25
236,103,45,40
237,87,61,57
238,279,113,128
239,309,122,130
240,235,102,114
241,231,58,66
242,84,39,35
243,117,52,49
244,224,91,100
245,126,47,45
246,193,72,77
247,210,71,81
248,9,1,1
249,335,87,99
250,92,43,47
251,106,46,48
252,20,11,12
253,74,41,61
254,130,18,36
255,174,42,77
256,90,24,48
257,164,35,65
258,197,51,71
259,73,26,32
260,195,92,89
261,211,69,83
262,272,116,132
263,253,95,103
264,132,49,53
265,273,86,89
266,125,42,42
267,242,87,96
268,216,68,80
269,67,39,36
270,230,93,94
271,236,83,94
272,58,27,25
273,88,43,47
274,130,59,66
275,52,14,17
276,72,38,49
277,69,15,49
278,154,42,65
279,112,25,38
280,218,37,78
281,414,73,102
282,35,20,25
283,196,75,80
284,298,114,121
285,128,56,53
286,164,86,89
287,142,48,49
288,159,69,71
289,181,76,83
290,73,38,38
291,239,68,70
292,118,60,61
293,127,56,49
294,222,99,113
295,231,77,100
296,80,52,55
297,63,40,37
298,2,1,1
299,23,10,17
300,75,51,74
301,96,52,53
302,215,48,72
303,167,37,72
304,78,16,33
305,287,63,85
306,40,19,21
307,111,51,60
308,228,97,100
309,165,70,70
310,213,110,133
311,202,76,82
312,134,47,46
313,31,14,12
314,129,65,71
315,226,115,124
316,160,76,80
317,219,93,95
318,102,56,56
319,173,66,83
320,132,55,53
321,50,27,25
322,20,7,8
323,83,45,60
324,97,41,40
325,98,51,47
326,193,48,82
327,136,29,51
328,406,66,94
329,54,33,42
330,132,55,54
331,198,94,103
332,128,59,58
333,311,130,141
334,216,104,123
335,80,41,47
336,73,36,39
337,22,10,10
338,180,91,100
339,277,118,126
340,160,73,76
341,140,57,60
342,183,82,105
343,109,53,51
344,42,28,24
345,11,9,12
346,101,45,67
347,155,50,45
348,125,51,51
349,226,94,112
350,70,21,46
351,177,47,68
352,27,18,22
353,343,130,163
354,151,56,59
355,125,53,58
356,285,115,136
357,256,116,119
358,38,15,14
359,44,19,21
360,64,30,29
361,174,85,87
