pasillo,items,uniqueItems,satOrders
0,149,10,0
1,13,2,0
2,49,4,0
3,18,2,0
4,24,5,1
5,128,13,1
6,8,2,0
7,133,9,1
8,34,3,0
9,17,7,1
10,162,1,0
11,4,2,0
12,68,7,0
13,18,5,0
14,72,9,0
15,44,3,0
16,334,25,1
17,45,8,0
18,26,4,0
19,20,3,0
20,186,9,0
21,42,10,0
22,23,3,0
23,44,6,0
24,42,10,0
25,7,4,0
26,69,11,0
27,61,4,0
28,36,4,0
29,47,9,1
30,40,4,0
31,55,4,0
32,27,7,0
33,33,4,0
34,95,6,0
35,42,11,0
36,9,2,0
37,2,2,0
38,10,3,0
39,129,15,0
40,21,4,0
41,15,2,0
42,28,3,1
43,388,25,2
44,60,7,0
45,409,2,0
46,379,4,0
47,104,7,0
48,20,3,0
49,45,6,1
50,49,4,0
51,114,16,1
52,80,6,0
53,13,1,0
54,39,6,0
55,133,5,0
56,75,9,0
57,47,4,0
58,139,10,0
59,25,3,0
60,45,10,0
61,232,13,0
62,28,3,0
63,121,14,2
64,13,2,0
65,82,4,0
66,68,13,1
67,93,7,0
68,25,5,0
69,26,2,0
70,550,33,2
71,7,3,0
72,50,10,0
73,6,2,0
74,98,7,0
75,1,1,0
76,27,4,0
77,18,3,0
78,58,9,0
79,61,7,0
80,98,15,0
81,37,3,0
82,64,1,0
83,66,12,0
84,17,3,0
85,23,2,0
86,120,11,0
87,60,5,0
88,715,6,0
89,59,6,1
90,67,6,0
91,114,13,1
92,88,13,0
93,1230,8,3
94,37,5,0
95,59,1,0
96,40,5,0
97,30,6,0
98,12,3,0
99,73,10,1
100,131,11,0
101,25,3,0
102,370,24,1
103,20,5,0
104,5,2,0
105,18,5,0
106,10,4,0
107,44,6,0
108,39,3,0
109,76,9,0
110,2,2,0
111,12,3,0
112,8,1,0
113,131,7,0
114,1,1,0
115,1,1,0
116,71,5,0
117,26,5,0
118,59,5,0
119,19,6,0
120,12,1,0
121,215,6,1
122,4,1,0
123,19,3,0
