pasillo,items,uniqueItems,satOrders
0,101,11,17
1,196,76,92
2,155,60,71
3,94,36,41
4,70,18,25
5,203,75,93
6,186,68,81
7,134,41,45
8,21,13,13
9,59,23,28
10,128,21,26
11,162,77,89
12,18,2,10
13,110,53,63
14,106,60,70
15,51,10,14
16,28,14,14
17,50,16,22
18,207,72,89
19,174,66,79
20,168,33,44
21,8,2,2
22,108,48,58
23,16,9,9
24,52,21,22
25,2,2,2
26,151,25,32
27,180,81,93
28,152,55,60
29,67,19,20
30,2,2,2
31,117,39,47
32,28,8,9
33,14,7,7
34,59,8,13
35,238,86,102
36,172,59,66
37,24,6,6
38,105,50,55
39,7,4,5
40,23,12,16
41,16,8,8
42,70,24,26
43,84,48,54
44,6,1,1
45,167,55,62
46,214,18,25
47,200,79,88
48,117,60,73
49,124,45,55
50,23,8,8
51,67,31,32
52,218,20,28
53,177,86,101
54,193,64,75
55,1,1,1
56,155,56,60
57,11,4,4
58,121,24,29
59,160,24,33
60,178,69,79
61,145,65,78
62,45,3,6
63,22,8,10
64,86,37,44
65,69,26,33
66,127,19,28
67,165,76,88
68,66,15,18
69,212,74,83
70,3,3,3
71,130,44,51
72,80,13,14
73,66,12,13
74,49,9,14
75,133,29,36
76,186,76,87
77,169,47,54
78,87,17,18
79,3,3,3
80,109,38,43
81,80,8,8
82,22,10,16
83,8,4,4
84,243,70,82
85,140,51,60
86,34,6,6
87,85,46,49
