pasillo,items,uniqueItems,satOrders
0,1667,227,424
1,1258,196,341
2,886,147,207
3,1210,169,257
4,981,185,325
5,2485,125,279
6,755,117,163
7,607,121,211
8,448,86,129
9,1859,141,225
10,550,61,119
11,4,3,6
12,23,7,16
13,1,1,3
14,775,194,367
15,983,151,245
16,1666,209,367
17,1394,194,280
18,959,133,194
19,857,178,272
20,359,30,35
21,852,175,288
22,3270,130,368
23,424,81,119
24,60,7,23
25,15,5,6
26,4,2,3
27,1439,218,404
28,993,176,273
29,1407,209,372
30,819,128,190
31,1255,196,292
32,584,118,178
33,879,144,347
34,508,71,124
35,563,52,78
36,2387,2,11
37,175,1,1
38,84,6,15
39,13,9,18
40,17,16,19
41,1681,242,458
42,1631,206,304
43,1070,182,270
44,1158,154,208
45,947,191,361
46,2130,127,285
47,702,114,203
48,845,170,247
49,2389,155,272
50,249,71,108
51,920,68,128
52,1,1,4
53,16,5,6
54,5,4,5
55,10,6,30
56,874,171,236
57,2559,34,87
58,1310,238,431
59,892,158,224
60,353,75,118
61,823,108,159
62,350,31,34
63,853,198,316
64,624,99,180
65,2117,109,266
66,1023,93,217
67,44,10,29
68,80,2,3
69,10,3,5
70,1,1,7
71,1,1,2
72,1646,230,380
73,1224,166,243
74,1588,239,418
75,1070,168,235
76,946,197,362
77,654,125,191
78,2040,93,203
79,1003,177,379
80,487,71,115
81,667,49,77
82,11,6,9
83,14,4,5
84,1477,258,418
85,1242,167,276
86,934,162,222
87,1560,206,313
88,731,115,177
89,1240,203,352
90,2149,139,333
91,805,191,377
92,1430,134,252
93,318,76,144
94,612,58,65
95,5,3,20
96,7,4,7
97,29,13,20
98,586,102,144
99,1087,166,263
100,1459,232,415
101,1290,210,306
102,386,59,72
103,848,186,336
104,854,121,194
105,1000,25,35
106,2277,132,329
107,1495,34,76
108,422,116,264
109,702,65,146
110,10,3,4
111,21,7,8
112,2,1,1
113,793,142,231
114,80,25,31
115,1863,248,437
116,982,134,225
117,1289,215,403
118,785,102,182
119,1094,200,299
120,391,91,131
121,2501,122,310
122,836,81,129
123,1,1,1
124,69,1,19
125,29,4,7
126,9,3,5
127,1868,221,387
128,948,137,213
129,1218,178,298
130,1025,159,238
131,1336,197,364
132,1002,124,200
133,2000,124,290
134,1566,143,318
135,1952,134,262
136,411,73,128
137,1285,203,422
138,60,9,13
139,11,5,11
140,8,5,7
141,1352,246,460
142,1011,148,211
143,1355,211,357
144,1087,103,139
145,939,192,373
146,740,144,194
147,3395,130,258
148,201,76,94
149,900,68,103
150,630,61,93
151,455,116,271
152,1,1,1
153,10,7,11
154,10,1,1
155,880,188,297
156,81,33,39
157,1462,239,444
158,930,140,240
159,959,202,356
160,903,119,161
161,926,166,342
162,428,80,122
163,3411,128,309
164,307,12,12
165,4,4,12
166,18,9,13
167,1383,224,437
168,1043,155,255
169,1283,209,369
170,994,149,219
171,1224,201,390
172,789,134,217
173,1475,174,357
174,1163,84,175
175,1818,143,312
176,492,77,116
177,7,5,5
178,6,3,3
179,12,2,4
