pasillo,items,uniqueItems,satOrders
0,40,2,0
1,7,2,0
2,31,5,0
3,1,1,0
4,2,1,0
5,1,1,0
6,12,1,0
7,15,2,0
8,5,1,0
9,1,1,0
10,23,3,0
11,11,1,0
12,27,2,0
13,1,1,0
14,3,1,0
15,1,1,0
16,26,3,0
17,21,2,0
18,19,1,0
19,35,4,0
20,2,2,0
21,6,1,0
22,2,1,0
23,61,4,0
24,1,1,0
25,2,1,0
26,20,1,0
27,339,3,0
28,54,4,0
29,14,1,0
30,37,2,0
31,3,1,0
32,72,1,0
33,51,2,0
34,2,1,0
35,21,2,0
36,3,1,0
37,15,1,0
38,24,4,0
39,16,2,0
40,8,1,0
41,1,1,0
42,11,1,0
43,11,2,0
44,22,2,0
45,5,2,0
46,19,1,0
47,2,1,0
48,23,2,0
49,8,1,0
50,7,2,0
51,21,1,0
52,21,2,0
53,11,2,0
54,959,5,0
55,7,3,0
56,6,1,0
57,6,1,0
58,21,1,0
59,4,1,0
60,15,2,0
61,42,1,0
62,13,2,0
63,1,1,0
64,13,2,0
65,2,1,0
66,14,2,0
67,18,2,0
68,4,1,0
69,3,1,0
70,6,4,0
71,25,1,0
72,56,2,0
73,2,1,0
74,9,2,0
75,59,3,0
76,5,1,0
77,24,1,0
78,2,1,0
79,2,1,0
80,2,1,0
81,9,1,0
82,5,1,0
83,7,2,0
84,9,1,0
85,4,1,0
86,12,2,0
87,5,1,0
88,32,2,0
89,1,1,0
90,51,3,0
