pasillo,items,uniqueItems,satOrders
0,26,4,4
1,75,37,38
2,45,23,23
3,6,5,5
4,102,5,5
5,51,28,28
6,86,31,32
7,43,21,21
8,3,2,3
9,9,7,8
10,54,11,11
11,93,33,34
12,31,4,4
13,47,18,18
14,42,21,21
15,38,3,3
16,14,8,8
17,30,9,9
18,86,42,42
19,72,30,30
20,105,12,13
21,53,24,25
22,11,9,9
23,34,6,6
24,95,27,28
25,43,27,27
26,68,12,13
27,2,1,1
28,36,19,19
29,82,2,2
30,5,1,1
31,11,3,3
32,61,33,35
33,63,6,7
34,34,18,18
35,70,22,22
36,1,1,1
37,13,3,3
38,12,7,7
39,17,12,12
40,33,20,20
41,34,13,13
42,78,10,10
43,71,33,34
44,78,32,33
45,51,19,19
46,14,4,4
47,58,7,7
48,73,30,30
49,61,19,19
50,60,1,1
51,41,22,22
52,12,4,5
53,29,13,13
54,107,10,10
55,67,26,27
56,31,15,15
57,78,3,3
58,39,18,18
59,2,2,2
60,23,8,8
61,68,10,10
62,64,28,29
63,61,35,36
64,114,11,12
65,1,1,1
66,42,19,19
67,3,3,3
68,8,3,3
69,20,5,5
70,32,12,12
71,78,32,35
72,84,13,15
73,55,24,24
74,1,1,1
75,55,23,23
76,2,2,2
77,21,5,5
78,7,5,5
79,44,24,25
80,56,20,20
81,9,1,1
82,66,27,27
