pasillo,items,uniqueItems,satOrders
0,261,93,119
1,156,62,67
2,221,127,161
3,206,73,79
4,138,44,47
5,250,64,66
6,28,9,8
7,45,14,14
8,194,76,92
9,313,116,160
10,230,95,102
11,135,65,69
12,200,93,124
13,135,55,77
14,63,33,31
15,12,4,4
16,68,31,46
17,127,54,61
18,160,93,112
19,107,53,54
20,152,30,59
21,174,26,61
22,708,5,9
23,11,7,7
24,282,32,40
25,224,94,116
26,238,119,139
27,132,61,60
28,206,72,78
29,102,40,38
30,55,24,24
31,298,82,96
32,127,39,40
33,137,59,64
34,237,89,100
35,155,89,113
36,150,81,84
37,1,1,1
38,51,36,35
39,183,68,73
40,150,62,72
41,1,1,1
42,42,7,10
43,83,27,34
44,263,103,132
45,119,54,55
46,138,69,78
47,183,60,65
48,227,44,103
49,18,4,8
50,231,2,5
51,25,11,13
52,742,10,26
53,132,63,67
54,102,67,91
55,233,99,114
56,277,121,144
57,182,44,41
58,121,44,43
59,149,33,33
60,210,41,42
61,214,91,101
62,143,71,98
63,150,60,62
64,214,80,74
65,77,42,42
66,154,57,67
67,206,48,58
68,7,4,4
69,217,114,148
70,91,54,57
71,224,68,85
72,192,66,75
73,2,2,4
74,1013,5,7
75,1,1,2
76,23,10,12
77,930,33,52
78,108,61,65
79,265,114,150
80,81,36,42
81,126,45,47
82,238,39,41
83,240,81,98
84,119,35,35
85,136,60,66
86,214,93,105
87,183,93,103
88,151,75,81
89,168,58,66
90,133,65,74
91,104,38,39
92,5,4,7
93,256,110,145
94,100,56,55
95,194,63,68
96,222,78,92
97,694,4,6
98,4,1,1
99,39,11,18
100,347,24,39
101,299,143,163
102,39,21,20
103,261,51,69
104,141,58,56
105,155,67,74
106,133,32,38
107,245,85,99
108,217,101,123
109,137,69,77
110,194,89,105
111,108,54,54
112,245,84,95
113,100,38,39
114,219,111,132
115,188,66,74
116,113,51,55
117,108,47,51
118,675,5,16
119,10,5,5
120,222,22,37
121,118,32,33
122,225,37,59
123,61,39,36
124,349,108,117
125,122,28,42
126,261,101,125
127,114,59,62
128,278,104,137
129,187,78,88
130,57,37,33
131,229,80,95
132,108,61,69
133,150,74,75
134,151,81,97
135,123,50,53
136,245,77,85
137,199,3,5
138,132,59,76
139,22,9,16
140,355,29,63
141,216,104,112
142,123,74,69
143,233,80,91
144,180,22,27
145,65,31,34
146,213,92,102
147,170,79,110
148,202,93,112
149,152,75,81
150,160,68,89
151,194,63,67
152,252,101,115
153,68,33,32
154,195,66,64
155,163,67,82
156,130,62,64
157,173,84,116
158,18,3,4
159,24,2,3
160,118,52,60
161,118,61,59
162,23,10,11
163,33,23,30
164,183,38,38
165,183,67,92
166,77,15,16
167,102,25,65
168,152,40,41
169,204,99,133
170,189,70,83
171,235,76,85
172,100,60,60
173,196,93,111
174,155,66,67
175,128,54,59
176,74,32,32
177,198,75,84
178,144,56,57
179,198,72,82
180,206,92,98
181,40,1,3
182,145,56,60
183,40,29,25
184,172,77,80
185,3,2,2
186,23,7,8
187,39,18,28
188,160,48,86
189,152,82,98
190,102,26,58
191,93,49,47
192,193,40,56
193,13,9,22
194,123,58,67
195,185,90,106
196,224,88,107
197,169,94,110
198,146,60,69
199,252,88,100
200,241,72,115
201,64,38,38
202,262,97,119
203,121,65,87
204,107,58,64
205,119,58,79
206,45,1,3
207,30,21,22
208,120,57,59
