aisle,items,uniqueItems,satOrders,contained,isUsed
0,2142,174,6,0,False
1,417,64,0,0,False
2,1267,172,4,0,False
3,488,60,3,0,False
4,461,73,1,0,False
5,6518,311,43,0,True
6,1613,190,3,0,False
7,3637,274,6,0,False
8,353,66,1,0,False
9,173,48,1,0,False
10,970,65,2,0,False
11,1,1,0,1,False
12,1,1,0,1,False
13,1,1,0,0,False
14,662,78,3,0,False
15,396,62,0,0,False
16,1816,180,5,0,False
17,530,45,0,0,False
18,579,79,1,0,False
19,1235,135,1,0,False
20,1913,145,4,0,False
21,1703,187,4,0,False
22,317,51,5,0,False
23,8487,342,52,0,True
24,811,14,0,0,False
25,40,1,1,0,False
26,1814,167,3,0,False
27,313,63,1,0,False
28,1963,207,3,0,False
29,689,77,2,0,False
30,1620,150,3,0,False
31,545,68,0,0,False
32,4439,253,17,0,False
33,371,45,2,0,False
34,1004,115,4,0,False
35,2387,2,0,0,False
36,176,1,0,0,False
37,3,1,0,0,False
38,8,4,0,1,False
39,2138,214,9,0,False
40,614,83,3,0,False
41,1946,177,5,0,False
42,1066,83,1,0,False
43,4786,257,25,0,False
44,615,68,2,0,False
45,1117,174,0,0,False
46,4131,287,10,0,False
47,664,96,0,0,False
48,889,62,3,0,False
49,187,65,0,0,False
50,316,63,1,0,False
51,1628,24,0,0,False
52,2252,200,7,0,False
53,538,63,0,0,False
54,495,64,2,0,False
55,616,68,0,0,False
56,2433,143,3,0,False
57,5117,293,11,0,True
58,1711,167,2,0,False
59,502,58,2,0,False
60,946,38,1,0,False
61,760,42,0,0,False
62,79,1,0,0,False
63,2,2,0,1,False
64,10,1,0,0,False
65,1815,188,7,0,False
66,244,65,0,0,False
67,564,55,0,0,False
68,1658,173,3,0,False
69,1807,185,3,0,False
70,765,91,0,0,False
71,837,141,3,0,False
72,2592,197,4,0,False
73,3805,202,16,0,False
74,416,51,1,0,False
75,1,1,0,0,False
76,1,1,0,0,False
77,313,54,1,0,False
78,2571,237,12,0,False
79,1846,170,5,0,False
80,560,66,1,0,False
81,5081,288,30,0,True
82,489,71,1,0,False
83,2393,198,4,0,False
84,4474,295,8,0,False
85,677,115,3,0,False
86,847,67,4,0,False
87,449,55,3,0,False
88,8,3,1,1,False
89,471,61,0,0,False
90,1624,197,5,0,False
91,579,66,1,0,False
92,1326,160,6,0,False
93,356,35,3,0,False
94,1709,112,3,0,False
95,1825,215,5,0,False
96,6880,295,35,0,True
97,237,42,3,0,False
98,341,65,2,0,False
99,4011,232,7,0,False
100,1517,22,1,0,False
101,5,2,0,0,False
102,2,2,0,0,False
103,2,1,0,2,False
104,375,64,1,0,False
105,69,14,0,0,False
106,914,60,4,0,False
107,2368,215,6,0,False
108,1220,178,5,0,False
109,607,70,1,0,False
110,3139,262,14,0,False
111,1304,137,4,0,False
112,6061,266,30,0,False
113,391,52,4,0,False
114,415,1,0,0,False
115,50,2,0,0,False
116,2296,187,4,0,False
117,594,73,0,0,False
118,1282,152,1,0,False
119,568,50,2,0,False
120,1406,157,0,0,False
121,890,79,1,0,False
122,4940,309,49,0,True
123,2961,204,11,0,False
124,1250,133,3,0,False
125,596,55,2,0,False
126,535,54,1,0,False
127,1838,195,2,0,False
128,307,55,0,0,False
129,1682,175,4,0,False
130,307,51,1,0,False
131,6571,307,32,0,True
132,537,76,2,0,False
133,1432,190,6,0,False
134,3722,250,10,0,False
135,339,42,0,0,False
136,383,23,4,0,False
137,356,68,1,0,False
138,7,1,0,3,False
139,2,2,0,1,False
140,430,43,0,0,False
141,82,19,1,0,False
142,1412,163,3,0,False
143,570,63,0,0,False
144,1655,154,4,0,False
145,386,62,0,0,False
146,7179,310,42,0,True
147,1480,167,4,0,False
148,494,52,5,0,False
149,202,40,2,0,False
150,8,3,1,1,False
151,2045,185,3,0,False
152,685,68,1,0,False
153,1649,179,3,0,False
154,716,80,0,0,False
155,485,59,4,0,False
156,1593,175,2,0,False
157,2931,175,17,0,False
158,754,103,5,0,False
159,236,41,2,0,False
160,564,29,0,0,False
