aisle,items,uniqueItems,satOrders,contained,isUsed
0,140,51,1,0,False
1,130,42,0,0,False
2,40,15,0,0,False
3,243,29,0,0,False
4,130,47,0,0,False
5,62,28,0,0,False
6,110,34,2,0,False
7,56,21,0,0,False
8,262,49,1,0,False
9,324,43,0,0,False
10,56,18,1,0,False
11,35,11,0,0,False
12,526,4,0,0,False
13,80,29,0,0,False
14,87,22,0,0,False
15,29,8,2,1,False
16,202,38,0,0,False
17,196,44,1,0,False
18,114,29,0,0,False
19,70,27,0,0,False
20,150,33,3,0,False
21,162,33,2,0,True
22,206,51,3,0,False
23,105,45,0,0,False
24,87,15,0,0,False
25,150,50,0,0,False
26,121,21,0,0,False
27,31,9,0,0,False
28,1,1,0,0,False
29,21,11,2,1,False
30,72,27,0,0,False
31,126,40,1,0,False
32,165,35,0,0,False
33,63,21,1,0,False
34,257,62,1,0,True
35,185,49,0,0,False
36,153,28,0,0,False
37,137,28,0,0,False
38,22,8,0,0,False
39,102,31,0,0,False
40,182,23,0,0,False
41,179,45,0,0,False
42,34,14,0,0,False
43,1040,11,3,0,False
44,658,16,3,1,False
45,112,37,0,0,False
46,164,37,1,0,False
47,203,57,1,0,False
48,180,34,0,0,False
49,118,32,0,0,False
50,150,36,0,0,False
51,72,25,0,0,False
52,103,48,1,0,False
53,273,59,1,0,True
54,147,38,1,0,False
55,347,51,2,0,True
56,21,14,0,0,False
57,339,6,0,0,False
58,71,23,1,0,False
59,110,22,0,0,False
60,5,1,0,0,False
61,33,11,1,2,False
62,168,44,1,0,False
63,101,40,0,0,False
64,122,26,0,0,False
65,120,27,0,0,False
66,175,39,1,0,False
67,159,30,1,0,False
68,220,45,1,0,False
69,218,45,1,0,True
70,74,4,0,0,False
71,126,38,0,0,False
72,22,10,0,0,False
73,113,17,0,0,False
74,11,8,0,1,False
75,176,41,1,0,False
76,97,27,0,0,False
77,127,40,0,0,False
78,155,27,0,0,False
79,167,51,0,0,False
80,185,50,0,0,False
81,76,24,0,1,False
82,135,31,0,0,False
83,70,18,1,0,False
84,223,32,0,0,False
85,134,19,0,0,False
86,80,17,0,0,False
87,102,39,0,0,False
88,312,3,0,0,False
89,2,1,0,1,False
90,1584,15,1,1,True
91,126,39,0,0,False
92,122,34,0,0,False
93,60,32,0,0,False
94,125,39,0,0,False
95,89,30,1,0,False
96,242,48,0,0,False
97,85,24,0,0,False
98,135,30,0,0,False
99,311,67,1,0,False
100,172,43,0,0,False
101,168,33,1,0,False
102,31,15,0,0,False
103,671,6,0,0,False
104,112,25,0,0,False
105,48,17,0,0,False
106,2,1,0,1,False
107,13,4,0,1,False
108,31,12,1,2,False
109,110,32,1,0,False
110,123,40,1,0,False
111,65,26,0,0,False
112,85,31,0,0,False
113,228,41,2,1,True
114,127,33,0,0,True
115,250,46,2,0,True
116,170,41,1,0,False
117,116,17,1,0,False
118,89,21,0,0,False
119,89,23,0,0,False
120,85,18,0,0,False
121,1,1,0,0,False
122,3,2,0,0,False
123,188,47,0,0,False
124,153,40,0,0,False
125,79,23,1,0,False
126,117,34,0,0,False
127,129,34,1,0,False
128,116,25,0,0,False
129,46,21,0,0,False
130,107,34,1,0,False
131,6,5,0,0,False
132,72,19,0,0,False
133,156,42,0,0,False
134,46,15,0,0,False
135,90,25,0,0,False
136,235,3,0,0,False
137,7,2,0,3,False
138,425,19,3,0,False
139,154,47,0,0,False
140,192,29,0,0,False
141,60,16,0,0,False
142,175,41,0,0,False
143,61,24,0,0,False
144,65,27,0,0,False
145,107,28,0,0,False
146,270,64,1,0,True
147,96,29,1,1,False
148,437,48,0,0,False
149,68,13,0,0,False
150,99,18,0,0,False
151,136,27,0,0,False
152,34,9,1,1,False
153,105,30,0,0,False
154,104,37,0,0,False
155,87,29,0,0,False
156,143,34,0,0,False
157,300,52,1,0,False
158,139,34,2,0,False
159,118,28,2,0,False
160,214,51,1,0,True
161,147,17,0,0,False
162,121,34,0,0,False
163,114,11,0,0,False
164,59,16,0,0,False
165,9,4,1,2,False
166,38,10,0,1,False
167,110,31,1,0,False
168,103,30,0,0,False
169,271,56,0,0,False
170,67,20,0,0,False
171,123,43,0,0,False
172,137,32,0,0,False
173,152,26,0,0,False
174,54,22,0,0,False
175,199,45,0,0,False
176,102,30,1,0,False
177,3,3,0,0,False
178,127,25,0,0,False
