aisle,items,uniqueItems,satOrders,contained,isUsed,rareness
0,137,24,66,0,False,5.535858379418476
1,14,6,6,0,False,4.116626344845381
2,188,98,108,0,False,29.397525734316297
3,221,99,109,0,False,27.700182772265766
4,5,1,1,0,False,0.16666583333749999
5,90,43,40,0,False,18.250862637741285
6,79,19,27,0,False,3.264555387558542
7,240,114,127,0,False,34.17907721249558
8,348,111,136,0,False,27.934765636024693
9,255,103,114,0,False,38.30738275794758
10,26,12,18,0,False,4.6732840558051425
11,162,43,42,0,False,22.1596221928539
12,218,43,62,0,False,6.0731262847921075
13,274,117,129,0,False,42.437381766250894
14,210,92,117,0,False,26.5334098335329
15,33,7,15,0,False,3.2712528641349943
16,180,94,101,0,False,35.17337661409187
17,60,13,20,0,False,5.324497015994514
18,76,35,38,0,False,18.934348782247465
19,161,24,26,0,False,2.4914766990980675
20,203,95,112,0,False,25.20002569293656
21,223,110,122,0,True,39.88470387761756
22,283,55,71,0,False,21.91708373122578
23,28,3,8,0,False,2.1410049361009595
24,219,93,110,0,False,36.919549931776324
25,29,12,13,0,False,4.742346969239135
26,130,49,49,0,False,25.187444360363607
27,7,6,5,0,False,3.083603586536169
28,453,44,81,0,False,9.17530998552344
29,195,96,114,0,False,25.43797022892396
30,207,101,106,0,False,31.072764896056714
31,311,58,83,0,False,27.85863589868713
32,27,6,6,0,False,2.367463348367287
33,289,112,117,0,True,41.24789686003931
34,98,8,16,0,False,1.7679605090056638
35,50,17,49,0,False,10.98878953798181
36,53,12,20,0,False,3.158191792484543
37,310,126,150,0,True,41.15968198911716
38,70,30,38,0,False,14.974690966065273
39,217,99,107,0,False,28.830302979591796
40,156,84,116,0,False,28.78636436490364
41,46,7,6,0,False,2.1717368929136995
42,76,15,23,0,False,4.355889757141775
43,89,31,30,0,False,29.186522255651887
44,124,58,58,0,False,47.28859543392
45,196,101,110,0,False,39.82630199840306
46,26,6,6,1,False,1.4379613180180362
47,187,87,76,0,False,38.504030398589705
48,144,30,61,0,False,10.970048144442526
49,187,88,98,0,False,25.16087189291114
50,278,107,118,0,False,36.44602933036193
51,241,97,113,0,False,32.815875615083904
52,20,7,11,0,False,2.5067237368509465
53,201,36,35,0,False,10.764572000957514
54,153,29,67,0,False,5.112979753145877
55,268,107,138,0,True,28.893464355630424
56,224,99,118,0,False,31.070521862345323
57,8,3,3,0,False,0.37392996083383784
58,276,97,121,0,False,40.968496237145345
59,36,14,20,0,False,6.71730637872465
60,62,36,36,0,False,12.003302230378898
61,206,32,45,0,False,10.135492431754983
62,261,96,123,0,False,30.622146972296587
63,218,10,17,0,False,5.0623689961804725
64,227,89,97,0,False,27.10314469176576
65,196,93,91,0,False,35.71873321544383
66,51,17,18,0,False,3.9220455560999277
67,101,39,60,0,False,19.144931411112456
68,203,42,46,0,False,14.086479363330753
69,294,101,103,0,False,38.56234146062312
70,226,110,114,0,False,32.34539525146032
71,391,47,92,0,False,17.736002475721083
72,40,8,9,0,False,4.737429915746134
73,177,84,92,0,False,34.075797477793735
74,79,17,20,0,False,6.083259102047592
75,93,36,68,0,False,26.155142758193172
76,198,26,65,0,False,5.899249668143136
77,133,34,36,0,False,7.952156657346945
78,237,125,136,0,True,44.62380631684939
79,242,85,95,0,False,21.81980427913545
80,316,68,89,0,False,32.116288434389254
81,7,3,3,0,False,0.23491997486965058
82,238,78,82,0,False,24.157112245042295
83,9,4,4,0,False,2.185585481578142
84,47,14,23,0,False,4.538370781838135
85,28,17,21,0,False,14.660571072844402
86,253,96,117,0,False,25.31569609697805
87,231,93,99,0,False,30.31993722651338
88,13,3,3,0,False,0.20144554677674645
89,143,70,70,0,False,23.83444626542477
