aisle,items,uniqueItems,satOrders,contained,isUsed
0,208,61,0,0,False
1,189,45,0,0,True
2,163,47,1,0,False
3,155,40,1,2,False
4,221,79,0,0,True
5,72,32,0,0,False
6,80,32,0,0,False
7,103,39,0,0,True
8,118,27,0,0,True
9,269,48,1,0,True
10,86,14,0,0,False
11,32,12,0,0,False
12,101,30,0,0,False
13,114,34,0,0,False
14,6,1,0,1,False
15,95,14,2,2,False
16,162,47,1,0,True
17,131,39,0,0,False
18,136,35,0,0,False
19,206,60,0,0,False
20,158,52,0,0,False
21,186,40,0,0,True
22,148,22,1,0,False
23,236,41,1,0,False
24,31,12,0,0,False
25,150,40,0,0,True
26,77,33,0,0,False
27,81,55,0,0,True
28,170,21,2,2,True
29,113,41,1,0,False
30,124,49,0,1,False
31,98,37,2,1,False
32,101,40,1,0,False
33,251,46,0,0,False
34,110,43,0,1,False
35,220,55,1,0,False
36,149,53,0,0,True
37,65,19,1,0,False
38,69,34,0,0,True
39,179,49,0,0,True
40,157,40,1,1,True
41,100,28,2,0,False
42,3313,6,1,1,True
43,1,1,0,0,False
44,151,11,1,0,False
45,181,54,0,0,False
46,161,38,0,1,False
47,166,43,0,0,True
48,133,31,0,0,False
49,125,42,1,0,True
50,122,41,0,0,False
51,102,35,0,0,False
52,94,42,0,0,False
53,329,57,6,0,True
54,152,36,0,0,False
55,178,32,0,0,False
56,43,19,2,0,False
57,7,1,0,0,False
58,102,35,0,0,False
59,98,40,1,0,False
60,2,1,0,0,False
61,42,13,1,0,False
62,126,50,1,0,False
63,101,43,0,0,True
64,188,36,1,0,True
65,150,38,0,0,False
66,118,29,1,0,False
67,262,34,2,0,False
68,258,41,2,0,True
69,92,18,0,0,True
70,111,23,0,0,True
71,99,39,0,0,True
72,115,29,0,0,False
73,102,38,0,0,True
74,2,1,0,0,False
75,23,7,1,1,False
76,121,33,2,0,False
77,169,49,1,0,True
78,144,45,0,1,False
79,164,58,0,0,False
80,149,46,1,0,False
81,136,44,0,1,False
82,91,33,0,0,False
83,186,48,0,0,False
84,138,27,1,0,False
85,167,38,0,0,False
86,120,39,0,0,True
87,79,31,0,0,False
88,147,55,2,0,True
89,534,2,0,0,False
90,3,1,0,0,False
91,46,6,0,1,False
92,189,49,0,1,False
93,130,38,1,0,False
94,60,31,0,0,False
95,168,44,1,0,False
96,151,57,1,0,True
97,141,40,1,1,False
98,143,40,0,0,False
99,113,36,0,1,False
100,230,32,0,0,False
101,138,33,1,0,False
102,163,35,2,0,True
103,273,39,2,0,True
104,375,2,0,1,False
105,110,38,0,1,False
106,64,27,0,0,False
107,7,3,0,1,False
108,67,14,1,2,False
109,163,48,3,0,True
110,113,53,1,0,False
111,254,44,1,0,False
112,151,41,0,0,False
113,202,31,2,0,False
114,121,36,3,0,True
115,186,40,1,0,False
116,61,13,0,0,False
117,54,12,0,0,False
118,143,30,0,0,False
119,155,36,0,1,False
120,67,32,1,0,False
121,4,3,0,0,False
122,137,42,1,0,False
123,86,35,0,0,False
124,185,47,0,0,False
125,199,56,0,0,True
126,156,43,0,0,False
127,167,46,0,1,False
128,104,29,0,1,False
129,125,44,1,0,True
130,35,9,0,0,False
131,187,59,0,0,False
132,108,44,1,0,True
133,166,37,0,0,False
134,109,27,0,0,False
