aisle,items,uniqueItems,contained,satOrders,isUsed,rareness
0,101,11,0,17,False,1.8419968952920718
1,196,76,0,92,False,18.93937907997231
2,155,60,0,71,False,15.037373554880771
3,94,36,0,41,False,10.529721202490146
4,70,18,0,25,False,5.60726245242506
5,203,75,0,93,False,17.700962770730786
6,186,68,0,81,False,11.200729815397054
7,134,41,0,45,False,10.53458670900513
8,21,13,0,13,False,4.495002952679565
9,59,23,0,28,False,8.297563427145278
10,128,21,0,26,False,5.967253633699377
11,162,77,0,89,False,26.972103879617833
12,18,2,0,10,False,0.06629693398915112
13,110,53,0,63,False,8.489684057187548
14,106,60,0,70,False,17.074003445771403
15,51,10,1,14,False,2.6385710062960923
16,28,14,0,14,False,3.6963857672018685
17,50,16,0,22,False,2.703553654042159
18,207,72,0,89,False,14.453977398644716
19,174,66,0,79,False,14.817747908057942
20,168,33,0,44,False,16.739193993444037
21,8,2,0,2,False,0.14333300500076085
22,108,48,0,58,False,12.41527078409736
23,16,9,0,9,False,2.0693308366767416
24,52,21,0,22,False,7.5347632033051175
25,2,2,0,2,False,0.07333318666696001
26,151,25,0,32,False,2.1146702030020204
27,180,81,0,93,False,16.020552113390185
28,152,55,1,60,False,10.657685860485367
29,67,19,0,20,False,9.094476433400347
30,2,2,0,2,False,1.249988750106249
31,117,39,0,47,False,6.628610165993201
32,28,8,0,9,False,1.6810018653985637
33,14,7,0,7,False,1.0964236666892657
34,59,8,1,13,False,0.3506245480720155
35,238,86,0,102,True,12.701718756660972
36,172,59,0,66,False,9.615631765874065
37,24,6,0,6,False,1.9573932439458992
38,105,50,0,55,False,11.795880795154549
39,7,4,0,5,False,0.24125911036984424
40,23,12,0,16,False,3.555886361703368
41,16,8,0,8,False,7.016596625700096
42,70,24,1,26,False,12.590887625163557
43,84,48,0,54,False,7.121797255434853
44,6,1,0,1,False,0.37499812500937496
45,167,55,0,62,False,13.893462371658856
46,214,18,0,25,False,2.9948420395401656
47,200,79,0,88,False,14.257660230474512
48,117,60,0,73,False,12.0248306219905
49,124,45,0,55,False,8.236530287702479
50,23,8,0,8,False,2.5945529427843415
51,67,31,0,32,False,11.93400704037612
52,218,20,0,28,False,3.162843088995084
53,177,86,0,101,True,22.037427443745212
54,193,64,0,75,False,12.662138500155876
55,1,1,0,1,False,0.039999920000160005
56,155,56,0,60,False,10.070770820363746
57,11,4,0,4,False,0.7202346726356315
58,121,24,0,29,False,6.151105606065764
59,160,24,0,33,False,3.5935111734029674
60,178,69,0,79,False,10.110686536948158
61,145,65,0,78,False,15.454865299504162
62,45,3,0,6,False,2.0439359813617832
63,22,8,0,10,False,3.7245663428581155
64,86,37,0,44,False,7.896614292197682
65,69,26,0,33,False,5.918165372477896
66,127,19,0,28,False,1.2492933940547877
67,165,76,0,88,False,11.316166373162549
68,66,15,0,18,False,5.064207887665157
69,212,74,0,83,False,22.436176925069912
70,3,3,0,3,False,0.3777759814903086
71,130,44,1,51,False,7.845366196074259
72,80,13,1,14,False,4.079876708560734
73,66,12,0,13,False,3.943407604114779
74,49,9,0,14,False,1.8737104773438211
75,133,29,0,36,False,3.2033315610754762
76,186,76,0,87,False,11.160644074958844
77,169,47,0,54,False,9.260129551489229
78,87,17,0,18,False,10.00548597804493
79,3,3,0,3,False,0.08746529709367745
80,109,38,0,43,False,8.828270253067458
81,80,8,0,8,False,1.675919780495449
82,22,10,0,16,False,3.302542558352881
83,8,4,0,4,False,3.027747685485491
84,243,70,0,82,False,11.44009365226589
85,140,51,0,60,False,10.282904657062208
86,34,6,0,6,False,1.6833966146872548
87,85,46,0,49,False,13.518566465263488
