aisle,items,uniqueItems,contained,satOrders,isUsed,rareness
0,184,71,0,76,False,16.422795311427468
1,357,174,0,245,False,26.419052466958952
2,489,184,0,215,True,48.53458622462664
3,286,122,0,124,False,29.144181266753076
4,303,83,0,93,False,23.04856494433614
5,304,77,0,79,False,15.8830320912132
6,76,22,0,24,False,7.947610487483829
7,98,33,0,39,False,10.335071030306164
8,216,85,0,92,False,13.673009916653573
9,142,61,0,61,False,12.125666734883891
10,298,133,0,146,False,36.396661929139015
11,485,196,0,253,True,51.98530552204437
12,45,19,0,16,False,3.44294840164194
13,228,88,0,99,False,16.40128810014741
14,235,117,0,122,False,31.922581102733027
15,49,11,0,16,False,1.8303149154138667
16,109,62,0,94,False,12.17457564874073
17,292,61,0,89,False,20.1593454171203
18,382,170,0,202,False,45.80004957600143
19,223,84,0,92,False,22.85411011538519
20,149,80,0,78,False,15.503574235345688
21,149,34,0,110,False,7.863380207835516
22,505,5,0,7,False,0.5865910294030303
23,2,1,0,2,False,0.01923074519233774
24,34,13,0,18,False,2.3069873015223163
25,294,36,0,41,False,3.9344300216902326
26,384,175,0,218,False,27.798025832473737
27,284,113,0,119,False,23.205085213138496
28,369,158,1,200,False,22.626476368534036
29,157,74,0,74,False,15.83921400377565
30,202,64,0,62,False,15.520355819568913
31,251,77,0,82,False,21.186758945840715
32,422,93,0,107,False,15.719245265328288
33,115,31,0,36,False,9.394627027876867
34,329,148,0,163,False,35.20776778090681
35,364,136,0,151,False,39.22201270073481
36,346,176,0,209,False,26.14081350990513
37,88,48,0,48,False,7.38326523145212
38,62,28,0,22,False,1.967038301274396
39,167,81,0,84,False,21.084484195983134
40,201,75,0,78,False,14.005652927520845
41,36,11,0,16,False,1.5240931223041356
42,110,45,0,63,False,11.765995862664159
43,225,117,0,120,False,21.98071743280806
44,330,126,0,133,False,34.18155477548299
45,362,148,0,204,False,20.410930560824625
46,150,82,0,81,False,14.943123914949927
47,170,40,0,123,False,7.033978517424159
48,222,3,0,5,False,0.09621567526692257
49,50,16,0,23,False,1.6426002738853918
50,562,14,0,18,False,1.329504419758451
51,209,86,0,79,False,15.964863940274343
52,152,83,0,106,False,11.521049861443421
53,436,187,0,258,True,54.67706287626752
54,306,144,0,156,False,32.23596144594922
55,263,58,0,68,False,24.095541336389733
56,359,91,0,108,False,31.012269007603354
57,497,85,0,112,False,22.36470962727776
58,417,64,0,76,False,15.724650293248912
59,256,120,0,131,False,20.87702755016586
60,192,93,0,88,False,23.047872794322245
61,241,102,0,147,False,9.928769741826022
62,216,94,0,104,False,17.404973187627686
63,159,66,0,62,False,8.346535740115332
64,188,90,0,97,False,24.771448658596416
65,52,26,0,28,False,4.423863686658191
66,38,10,0,17,False,0.4112192625038127
67,260,105,0,106,False,29.104643030626885
68,344,150,0,160,False,45.00066689438437
69,372,189,0,231,True,36.67101178006717
70,174,77,0,86,False,12.887392396233649
71,1030,6,0,11,False,0.7912869765367953
72,12,3,0,5,False,0.19751009434026545
73,64,18,0,25,False,1.6964801285993854
74,997,47,0,68,False,6.505727827326975
75,264,98,0,103,False,13.242569139946472
76,476,209,0,262,True,49.388479637579685
77,82,46,0,49,False,11.217800237933094
78,344,77,0,79,False,21.101678836434985
79,312,120,0,141,False,35.68083043811294
80,392,78,0,77,False,22.18641842013298
81,241,84,0,98,False,17.19754141579253
82,212,101,0,105,False,21.108087404407993
83,190,105,0,115,False,18.07848625420679
84,363,142,0,176,False,23.73850943109198
85,244,117,0,114,False,22.958082330424926
86,219,82,0,84,False,15.280198302918052
87,205,115,0,139,False,31.503856528974
88,59,21,0,18,False,3.8120465148695186
89,50,10,0,16,False,1.7615902381818411
90,219,117,0,128,False,24.277742743430018
91,338,132,0,178,False,8.117098872492756
92,173,83,0,93,False,10.956424624098746
93,253,101,0,98,False,21.27818282169823
94,633,5,0,9,False,0.2518028607093875
95,4,1,0,2,False,0.011695893437311386
96,39,14,0,19,False,1.005788446986201
97,563,37,0,56,False,4.330249373118385
98,530,239,0,298,True,60.76744874733089
99,58,27,0,25,False,6.726045079770208
100,122,62,0,64,False,19.195492424066813
101,526,114,0,127,False,41.33662447697617
102,220,88,0,96,False,19.63865993390277
103,375,77,0,87,False,42.46731192723918
104,267,122,0,132,False,18.43073864118419
105,234,111,0,117,False,30.859706307361503
106,317,145,0,187,False,23.494120074966663
107,286,125,0,145,False,18.35112619617185
108,273,87,0,95,False,20.216506979139265
109,228,76,0,76,False,16.155754961975465
110,105,27,0,23,False,5.196509466247118
111,293,149,0,179,False,15.077930344304413
112,225,84,0,94,False,19.7347706133207
113,231,86,0,103,False,10.574112142275617
114,169,87,0,75,False,11.549574366829749
115,580,7,0,11,False,0.3720971841961243
116,4,1,0,1,False,0.047058729411952945
117,46,12,0,20,False,1.686279221805988
118,56,43,0,52,False,4.456072773943276
119,171,50,0,45,False,17.055526107797736
120,183,81,0,73,False,23.527341562252477
121,462,94,0,112,False,33.766899325279674
122,222,79,0,96,False,11.990877570581649
123,94,21,0,26,False,7.626373349794866
124,374,160,0,198,False,23.402234864626347
125,287,115,0,130,False,18.923735047158104
126,206,99,0,106,False,29.448120577792455
127,214,103,0,104,False,26.471597420338345
128,233,97,0,97,False,19.60574416664958
129,316,94,0,102,False,18.637287086404797
130,101,59,0,55,False,25.374251765575224
131,218,109,0,131,False,14.050918575472625
132,193,89,0,94,False,14.430683299214314
