aisle,items,uniqueItems,contained,satOrders,isUsed,rareness
0,1667,227,1,424,False,27.98448978254107
1,1258,196,0,341,True,29.827877015704487
2,886,147,0,207,False,21.481379447886994
3,1210,169,1,257,False,21.919201660148428
4,981,185,1,325,False,30.689992063763114
5,2485,125,0,279,False,37.781613840369346
6,755,117,0,163,False,16.862899337250862
7,607,121,0,211,False,10.783381485969933
8,448,86,0,129,False,14.066828541729132
9,1859,141,0,225,False,56.73277902320433
10,550,61,0,119,False,10.398884719594047
11,4,3,0,6,False,1.3359258269312653
12,23,7,0,16,False,1.2431921202341811
13,1,1,0,3,False,0.0017921136997217798
14,775,194,2,367,False,30.627880731115578
15,983,151,2,245,False,24.293246763263543
16,1666,209,1,367,False,27.31194786220354
17,1394,194,0,280,False,32.9592813722022
18,959,133,0,194,False,24.299358556133896
19,857,178,0,272,False,34.8275883056831
20,359,30,0,35,False,11.477065885496554
21,852,175,1,288,False,17.9119164694581
22,3270,130,1,368,True,26.624614519610518
23,424,81,0,119,False,11.245512774870942
24,60,7,0,23,False,3.7408087869485542
25,15,5,0,6,False,1.7845434307123622
26,4,2,0,3,False,1.0033233312111114
27,1439,218,1,404,False,47.47301568132013
28,993,176,0,273,False,25.055932125963505
29,1407,209,1,372,False,39.655345868388224
30,819,128,0,190,False,16.35953729012407
31,1255,196,3,292,False,48.07968861106979
32,584,118,0,178,False,12.740969473427684
33,879,144,0,347,False,14.400017348974577
34,508,71,0,124,False,6.9819362549447685
35,563,52,0,78,False,12.577621404685855
36,2387,2,0,11,False,0.17879406413154447
37,175,1,0,1,False,0.030556997365649825
38,84,6,3,15,False,0.24838846514630505
39,13,9,2,18,False,2.1657523720644205
40,17,16,1,19,False,0.8224199442057207
41,1681,242,1,458,False,27.990891005754285
42,1631,206,0,304,False,29.95436571273668
43,1070,182,1,270,False,15.89840140268982
44,1158,154,0,208,False,25.090959012476258
45,947,191,0,361,False,26.907973574887368
46,2130,127,0,285,False,38.23760745635097
47,702,114,0,203,False,12.258718284418663
48,845,170,1,247,False,21.512416588600473
49,2389,155,0,272,False,69.9080572522303
50,249,71,1,108,False,6.829645998992394
51,920,68,0,128,False,12.131528572820754
52,1,1,0,4,False,0.0028248540489720655
53,16,5,0,6,False,0.807047939116971
54,5,4,1,5,False,0.46999802556421444
55,10,6,2,30,False,0.09311907285660115
56,874,171,0,236,False,25.25952641523087
57,2559,34,0,87,False,8.983255158824685
58,1310,238,0,431,False,29.707832948046544
59,892,158,0,224,False,19.969470802005148
60,353,75,0,118,False,12.384016313923818
61,823,108,0,159,False,17.373480612062732
62,350,31,0,34,False,10.325060852553797
63,853,198,1,316,False,27.036969641870837
64,624,99,0,180,False,9.660765331284047
65,2117,109,0,266,False,27.60715238391857
66,1023,93,0,217,False,16.93765957409861
67,44,10,0,29,False,5.669313280866852
68,80,2,0,3,False,0.09027462873983967
69,10,3,0,5,False,0.1343466611117525
70,1,1,0,7,False,0.0018315009593585173
71,1,1,0,2,False,0.009523795918386785
72,1646,230,0,380,False,40.060692103562836
73,1224,166,0,243,False,24.57559114912896
74,1588,239,2,418,False,36.16606588643852
75,1070,168,0,235,False,24.69634362458591
76,946,197,1,362,False,25.65939238213188
77,654,125,0,191,False,16.39616692694667
78,2040,93,0,203,False,20.79970213559012
79,1003,177,2,379,False,18.85213843765042
80,487,71,1,115,False,15.521432221104911
81,667,49,0,77,False,10.901859653357322
82,11,6,1,9,False,1.3935782255646334
83,14,4,0,5,False,0.4501661710529654
84,1477,258,0,418,False,33.691467303828915
85,1242,167,1,276,False,26.228478713404648
86,934,162,0,222,False,20.365550923709563
87,1560,206,1,313,False,28.452541709057023
88,731,115,0,177,False,16.69675560335372
89,1240,203,0,352,False,28.75169577784021
90,2149,139,0,333,False,38.48048667194212
91,805,191,3,377,False,27.357965216658933
92,1430,134,0,252,False,53.92427569567201
93,318,76,0,144,False,10.230865970083157
94,612,58,0,65,False,7.753598180878408
95,5,3,1,20,False,0.015345764111831098
96,7,4,0,7,False,0.8783289561329874
97,29,13,2,20,False,1.197728697304841
98,586,102,1,144,False,17.161144213905267
99,1087,166,0,263,False,25.789920424506867
100,1459,232,1,415,False,28.148535717650887
101,1290,210,2,306,False,41.760867559271986
102,386,59,0,72,False,7.4482573790199265
103,848,186,0,336,False,16.73920149254707
104,854,121,0,194,False,15.051119148327677
105,1000,25,0,35,False,7.46334511966618
106,2277,132,0,329,False,29.77086261471371
107,1495,34,1,76,False,5.218688230464695
108,422,116,2,264,False,13.497130932396328
109,702,65,0,146,False,13.588953461819708
110,10,3,0,4,False,0.1958328215291758
111,21,7,1,8,False,0.366993945257347
112,2,1,0,1,False,0.002020200897868188
113,793,142,1,231,False,18.630955753881754
114,80,25,0,31,False,10.749676534410598
115,1863,248,0,437,True,42.77755534093436
116,982,134,0,225,False,16.58134831332995
117,1289,215,2,403,False,32.95438838755295
118,785,102,1,182,False,8.22695120909533
119,1094,200,1,299,False,30.906437098780025
120,391,91,0,131,False,7.350381230816051
121,2501,122,0,310,False,34.15769723646102
122,836,81,0,129,False,20.578371487645448
123,1,1,0,1,False,0.004444441481483457
124,69,1,0,19,False,0.03415834752488911
125,29,4,0,7,False,1.036351109858708
126,9,3,0,5,False,0.07633463471101813
127,1868,221,1,387,False,38.767813722585615
128,948,137,0,213,False,17.336710334494853
129,1218,178,1,298,False,21.2266347018851
130,1025,159,0,238,False,27.46136244562739
131,1336,197,1,364,False,37.50129728166332
132,1002,124,1,200,False,14.169483865870076
133,2000,124,0,290,False,47.61002748844186
134,1566,143,0,318,False,45.464485623451104
