aisle,items,uniqueItems,satOrders,contained,isUsed
0,57,31,29,0,False
1,1,1,1,0,False
2,106,40,47,0,False
3,47,7,7,0,False
4,114,53,53,0,False
5,131,48,50,0,False
6,275,126,129,0,False
7,333,153,160,0,False
8,87,39,37,0,False
9,242,121,116,0,False
10,69,32,29,0,False
11,312,69,92,0,False
12,169,56,63,0,False
13,15,8,7,0,False
14,45,14,16,0,False
15,141,54,54,0,False
16,167,37,46,0,False
17,347,143,138,0,False
18,60,26,26,0,False
19,330,143,147,0,False
20,270,136,128,0,False
21,85,21,20,0,False
22,71,37,35,0,False
23,113,34,36,0,False
24,124,52,67,0,False
25,96,40,43,0,False
26,345,97,111,0,False
27,257,132,134,0,False
28,151,60,59,0,False
29,250,132,127,0,False
30,169,37,39,0,False
31,92,25,25,0,False
32,4,1,1,0,False
33,94,35,51,0,False
34,39,6,5,0,False
35,82,41,37,0,False
36,81,42,43,0,False
37,395,163,164,0,False
38,422,184,193,0,True
39,98,48,47,0,False
40,322,146,149,0,False
41,49,27,28,0,False
42,322,73,101,0,False
43,1,1,1,1,False
44,117,46,65,0,False
45,132,33,41,0,False
46,41,7,7,0,False
47,182,43,49,0,False
48,227,37,45,0,False
49,127,45,39,0,False
50,317,126,128,0,False
51,309,153,141,0,False
52,328,133,126,0,False
53,26,9,8,0,False
54,58,28,26,0,False
55,275,58,70,0,False
56,89,2,2,0,False
57,126,48,66,0,False
58,336,106,107,0,False
59,81,36,40,0,False
60,345,164,167,1,False
61,325,129,128,0,False
62,81,30,27,0,False
63,103,44,46,0,False
64,84,19,22,0,False
65,2,1,1,1,False
66,96,44,51,0,False
67,75,37,38,0,False
68,374,157,161,0,False
69,92,39,36,0,False
70,410,144,153,0,False
71,115,46,50,0,False
72,209,114,112,0,False
73,64,27,29,0,False
74,149,33,47,0,False
75,64,1,1,0,False
76,84,20,20,0,False
77,111,47,54,0,False
78,39,10,12,0,False
79,175,64,65,0,False
80,93,27,28,0,False
81,361,147,140,0,False
82,78,38,42,0,False
83,301,163,164,0,False
84,275,110,107,0,False
85,4,4,4,0,False
86,73,29,28,0,False
87,257,62,71,0,False
88,145,2,2,0,False
89,119,41,60,0,False
90,199,73,74,0,False
91,399,169,161,0,False
92,60,23,22,0,False
93,296,140,127,0,False
94,28,12,12,0,False
95,136,46,49,0,False
96,53,25,26,0,False
97,1,1,1,0,False
98,114,39,46,0,False
99,62,26,29,0,False
100,362,126,133,0,False
101,61,32,26,0,False
102,91,31,26,0,False
103,167,29,28,0,False
104,104,41,47,0,False
105,87,39,38,0,False
106,53,16,17,0,False
107,110,48,65,0,False
108,101,40,45,0,False
109,119,47,47,0,False
110,235,106,108,0,False
111,360,127,128,0,False
112,44,22,19,0,False
113,287,136,132,0,False
114,153,44,50,0,False
115,250,69,92,0,False
116,1,1,1,1,False
117,4,3,3,1,False
118,86,42,49,0,False
119,9,3,1,0,False
120,154,55,61,0,False
121,102,31,41,0,False
122,107,29,29,0,False
123,378,157,160,0,False
124,302,122,121,0,False
125,46,16,16,0,False
126,105,43,41,0,False
127,159,39,44,0,False
128,126,44,55,0,False
129,327,134,134,0,False
130,55,22,20,0,False
131,111,49,45,0,False
132,204,97,95,2,False
133,190,100,100,0,False
