aisle,items,uniqueItems,contained,satOrders,isUsed,rareness
0,38,5,8,0,False,1.1801669811374729
1,8,3,1,0,False,1.3499883751078112
2,11,6,3,0,False,0.4694519083974279
3,5,2,1,0,False,0.058991701032319106
4,9,3,3,0,False,0.32382905550103847
5,9,5,4,0,False,0.14349767442250433
6,13,3,11,0,False,0.1420332008063328
7,11,3,0,0,False,1.1770724653820592
8,9,5,2,1,True,2.144424100200842
9,6,2,1,0,False,0.3166651500075166
10,9,3,1,0,True,1.3610994908482243
11,4,1,0,0,False,0.0009685227257005287
12,2,1,16,0,False,0.00021850756616261882
13,5,4,6,0,False,0.08534306573572836
14,2,2,11,0,False,0.11121999452505661
15,2,2,12,0,False,0.003283854841283779
16,21,8,0,0,False,1.388514376683766
17,24,6,0,0,True,0.21736201268707456
18,11,5,0,0,False,0.2923346503918762
19,1,1,0,0,False,0.008333316666700001
20,4,1,0,0,False,0.001075268470343504
21,8,2,1,0,False,0.15697600142025198
22,8,3,4,0,False,0.05174816264260992
23,1,1,0,0,False,0.014705845588327207
24,15,10,0,0,False,0.4473305062149006
25,1,1,0,0,False,0.1111107407419753
26,2,2,10,0,False,0.001225324514108531
27,12,3,15,0,False,0.025742415183533457
28,4,2,0,0,False,0.01878419105520261
29,4,1,2,0,False,0.004464282924108887
30,21,2,5,0,False,0.3348198130660766
31,1130,3,1,0,False,1.1024493315544204
32,544,4,18,0,False,0.12168541047700387
33,3,3,10,0,False,1.041765781661321
34,12,2,5,0,False,0.12144857466335535
35,7,1,1,0,False,0.017283931412915714
36,7,2,4,0,False,0.03270270596374611
37,65,4,22,0,False,0.018982007910281207
38,2,1,0,0,False,0.0017182116265762218
39,3,2,1,0,False,0.06111096666701944
40,8,5,0,0,False,1.1666608333625
41,27,4,0,0,False,1.5583205417806238
42,11,3,0,0,False,1.1181354346546866
43,7,1,0,0,False,0.005426338501352282
44,8,3,5,0,False,0.012519712129398595
45,6,1,1,0,False,0.06315776842130527
46,6,3,0,0,False,0.07469118583716713
47,15,5,12,1,False,2.0019442873700197
48,4,1,0,0,False,0.11111083333402777
49,64,9,0,0,True,1.1846901680057889
50,23,10,0,0,True,1.3924993017910277
51,6,2,0,0,False,0.030848077348993617
52,15,5,0,0,False,2.5291442432669307
53,6,2,2,0,False,0.16825357619139922
54,6,3,11,1,False,0.11229526299540012
55,1,1,0,0,False,0.24999875000624996
56,3,2,0,0,False,0.2565776891509971
57,9,2,5,0,False,0.00664725336713627
58,3,1,0,0,False,0.04285705714302858
59,4,1,0,0,False,0.009876532235951837
60,12,3,1,0,False,0.31110976111753885
61,13,4,16,1,False,0.2529315599019722
62,1,1,9,0,False,0.00010925378308130941
63,1,1,0,0,False,0.002481387669404026
64,1,1,0,0,False,0.00041322276483880886
65,15,5,16,1,False,0.11408241588711497
66,50,1,1,0,False,0.020661138241940442
67,10,3,12,0,False,0.12868037521239203
68,3,1,2,0,False,0.007444163008212078
69,863,4,1,0,False,0.1251488364646698
70,381,5,0,0,False,0.5615561945755412
71,4,3,2,0,False,0.036454827895428504
72,11,2,10,0,False,0.0021172845729081724
73,5,3,2,0,False,0.13114791324869926
74,2,1,3,0,False,0.0006335126741194934
75,22,4,12,1,False,0.079019453381911
76,6,3,15,0,False,0.04410012306294143
77,16,5,0,0,True,1.5941432477670525
78,15,8,0,1,False,6.458271181165849
79,19,4,0,0,False,1.5737610091596597
80,564,4,1,0,False,1.8682582178732832
81,6,4,1,0,False,2.1144389531350547
82,1,1,9,0,False,0.00010925378308130941
83,2,1,16,0,False,0.00021850756616261882
84,11,3,13,1,False,0.0026906792142970945
85,1,1,0,0,False,0.08333305555648148
86,5,3,18,0,False,1.0010495228942595
87,48,13,0,0,False,0.9488789628265264
88,14,6,0,0,False,1.397270231798629
89,22,8,0,1,False,0.6180474194889131
