aisle,items,uniqueItems,satOrders,contained,isUsed,rareness
0,261,93,119,0,False,10.555488167888436
1,156,62,67,0,False,16.99219557730508
2,221,127,161,0,False,19.100524567167604
3,206,73,79,0,False,13.819384470408213
4,138,44,47,0,False,16.64816618936325
5,250,64,66,0,False,15.936598382600122
6,28,9,8,0,False,2.1749845729435413
7,45,14,14,0,False,4.94804249640372
8,194,76,92,0,False,15.970506553831013
9,313,116,160,0,True,22.73367061021621
10,230,95,102,0,False,22.381052904741804
11,135,65,69,0,False,18.43806160086802
12,200,93,124,0,False,17.24990357665289
13,135,55,77,0,False,10.440055229355245
14,63,33,31,0,False,12.580482023955673
15,12,4,4,1,False,0.08642871405668401
16,68,31,46,0,False,4.681648667745299
17,127,54,61,0,False,13.659211409018774
18,160,93,112,0,False,12.236004502087496
19,107,53,54,0,False,11.16836296903991
20,152,30,59,0,False,9.964953455381332
21,174,26,61,0,False,3.112097355029408
22,708,5,9,0,False,0.3564354429791457
23,11,7,7,1,False,0.2898347555198367
24,282,32,40,0,False,4.472255232720896
25,224,94,116,0,False,15.104495596620621
26,238,119,139,0,True,21.353510106354992
27,132,61,60,0,False,14.606819235173116
28,206,72,78,0,False,15.377942499795177
29,102,40,38,0,False,15.723049826200537
30,55,24,24,0,False,8.202046783064452
31,298,82,96,0,True,25.5433009250426
32,127,39,40,0,False,12.82593640301692
33,137,59,64,0,False,11.425472759267382
34,237,89,100,0,False,12.335253755342302
35,155,89,113,0,False,16.33943403376931
36,150,81,84,0,False,12.674825096282337
37,1,1,1,0,False,0.011904742063525134
38,51,36,35,0,False,12.958943310852074
39,183,68,73,0,False,18.68116082024757
40,150,62,72,0,False,8.742153386151466
41,1,1,1,0,False,0.006578939144747121
42,42,7,10,0,False,1.2843840946774159
43,83,27,34,0,False,7.194496830130199
44,263,103,132,0,False,17.843404767456768
45,119,54,55,0,False,12.04056259805813
46,138,69,78,0,False,14.170369651852502
47,183,60,65,0,False,8.99731210811206
48,227,44,103,0,False,3.869268560741791
49,18,4,8,0,False,0.03952363388189959
50,231,2,5,0,False,0.05989018712126053
51,25,11,13,2,False,2.499475463623976
52,742,10,26,0,False,0.6450924038872711
53,132,63,67,0,False,12.677764146921959
54,102,67,91,0,False,4.175413297153528
55,233,99,114,0,False,28.084776076045504
56,277,121,144,0,False,24.050706405323663
57,182,44,41,0,False,9.811152328686099
58,121,44,43,0,False,12.910684071412112
59,149,33,33,0,False,10.461689466493258
60,210,41,42,0,False,12.740217249066138
61,214,91,101,0,False,21.651624769944895
62,143,71,98,0,False,12.40737920321462
63,150,60,62,0,False,11.477626515716933
64,214,80,74,0,False,22.879927606694263
65,77,42,42,0,False,9.880796263037102
66,154,57,67,0,False,12.777088668833816
67,206,48,58,0,False,10.281641951577292
68,7,4,4,0,False,0.07550438246059449
69,217,114,148,0,True,20.261233868191013
70,91,54,57,0,False,19.947477117915152
71,224,68,85,0,False,13.206481203511299
72,192,66,75,0,False,13.128141882924382
73,2,2,4,0,False,0.12444402963101234
74,1013,5,7,0,False,0.5144813013893108
75,1,1,2,0,False,0.0007215000655915709
76,23,10,12,1,False,1.879357213273201
77,930,33,52,0,True,4.49022007885988
78,108,61,65,1,False,16.605333712442196
79,265,114,150,0,False,19.302143925652274
80,81,36,42,0,False,9.454235769174618
81,126,45,47,0,False,13.38409588333979
82,238,39,41,0,False,8.039707188255818
83,240,81,98,0,False,15.593705578483878
84,119,35,35,0,False,12.978704517851547
85,136,60,66,0,False,8.183495033493447
86,214,93,105,0,False,16.332436637165795
