order,items,uniqueItems,isUsed,rareness
0,2,2489,True,1.9999800001999979
1,2,2673,False,1.9999800001999979
2,2,2768,False,1.9999800001999979
3,4,6412,False,3.9999600003999958
4,2,520,False,1.9999800001999979
5,2,3876,False,1.9999800001999979
6,10,7962,False,4.999950000499995
7,6,5449,False,4.999950000499995
8,3,4153,False,2.9999700002999967
9,3,710,False,1.499987500112499
10,2,1918,False,1.9999800001999979
11,2,2349,True,1.9999800001999979
12,2,703,False,1.9999800001999979
13,2,2739,False,1.9999800001999979
14,3,5330,False,2.1666458335374976
15,3,3353,False,2.9999700002999967
16,9,11816,False,6.999930000699992
17,2,983,False,1.9999800001999979
18,6,7711,False,5.999940000599993
19,2,2562,False,1.9999800001999979
20,2,714,True,1.9999800001999979
21,2,4802,False,1.9999800001999979
22,2,2087,False,1.9999800001999979
23,4,3712,False,1.9999800001999977
24,4,3477,False,3.9999600003999958
25,2,3600,True,1.9999800001999979
26,4,2313,False,3.9999600003999958
27,3,2312,False,1.9999800001999979
28,3,1849,False,1.9999800001999979
29,2,3915,False,1.9999800001999979
30,2,3754,True,1.249988750106249
31,3,3160,False,2.9999700002999967
32,2,2958,False,1.0624898438503896
33,2,3272,False,1.9999800001999979
34,3,5151,False,2.9999700002999967
35,5,3589,False,2.9999700002999967
36,2,3655,False,1.9999800001999979
37,2,3004,False,1.9999800001999979
38,2,3786,False,1.9999800001999979
39,2,3929,False,1.9999800001999979
40,3,5795,False,2.9999700002999967
41,3,3754,False,1.333321666774999
42,4,5181,False,2.9999700002999967
43,4,5119,False,3.9999600003999958
44,3,3936,False,2.9999700002999967
45,4,3144,False,3.249968750306247
46,5,7673,True,4.999950000499995
47,2,2087,False,1.9999800001999979
48,3,4812,False,2.249978750206248
49,2,3332,False,1.9999800001999979
50,3,4477,True,2.249978750206248
51,3,4630,False,2.9999700002999967
52,2,3149,False,1.9999800001999979
53,4,1519,False,0.9999900000999989
54,7,2895,True,0.09761885238134287
55,4,7208,False,3.9999600003999958
56,5,3825,False,4.999950000499995
57,7,2895,True,0.09761885238134287
58,2,1530,False,1.9999800001999979
59,3,4320,False,2.9999700002999967
60,6,5811,False,4.333291667074995
61,2,2777,False,1.9999800001999979
62,2,3282,False,1.9999800001999979
63,3,5403,False,2.9999700002999967
64,2,1251,False,1.9999800001999979
65,6,4531,False,4.999950000499995
66,2,2170,True,0.9999900000999989
67,9,11241,False,7.083263056256473
68,5,6579,False,4.999950000499995
69,2,2813,False,1.9999800001999979
70,3,4099,False,2.9999700002999967
71,2,1885,False,1.9999800001999979
72,5,6486,False,4.999950000499995
73,4,4717,False,3.9999600003999958
74,2,676,False,1.9999800001999979
75,9,9288,False,4.999950000499995
76,2,390,False,1.9999800001999979
77,2,2250,False,1.9999800001999979
78,2,3981,False,1.9999800001999979
79,11,1783,True,1.9999800001999979
80,3,1616,False,0.9999900000999988
81,3,4973,False,2.0833130557564794
82,3,3078,False,2.249978750206248
83,2,1716,False,1.9999800001999979
84,3,939,False,1.9999800001999979
85,3,2413,False,2.9999700002999967
86,15,9691,False,4.999950000499994
87,4,3517,False,2.9999700002999967
88,2,1649,False,1.9999800001999979
89,8,6793,False,4.249958750406245
90,12,7244,False,4.999950000499995
91,4,5489,False,2.9999700002999967
92,2,1864,False,1.9999800001999979
93,2,2724,False,1.9999800001999979
94,13,14644,False,11.999880001199985
95,3,6458,False,2.9999700002999967
96,2,3978,False,1.9999800001999979
97,2,2769,False,1.9999800001999979
98,4,8092,False,3.9999600003999958
99,3,2845,False,1.9999800001999979
100,4,7092,False,3.9999600003999958
101,2,801,False,1.249988750106249
102,2,2744,False,1.9999800001999979
103,4,5495,False,3.9999600003999958
104,2,4025,False,1.9999800001999979
105,4,3350,False,3.249968750306247
106,3,5291,False,2.9999700002999967
107,19,6159,False,4.249958750406245
108,4,6909,False,3.9999600003999958
109,13,8482,False,5.499947500512494
110,3,5777,False,2.9999700002999967
111,2,2137,True,1.9999800001999979
112,2,2669,True,0.9999900000999989
113,2,2016,False,1.9999800001999979
114,8,8617,False,4.999950000499995
115,2,4142,False,1.9999800001999979
