order,items,uniqueItems,isUsed,rareness
0,3,184,False,2.9999700002999967
1,4,326,False,3.9999600003999958
2,5,249,False,3.9999600003999958
3,3,29,True,0.9999900000999988
4,3,275,False,2.9999700002999967
5,5,198,False,1.9999800001999977
6,4,187,False,2.9999700002999967
7,2,294,False,1.9999800001999979
8,2,162,False,1.9999800001999979
9,4,307,False,2.9999700002999967
10,2,150,False,1.9999800001999979
11,2,97,True,1.0499898751003114
12,3,53,False,2.249978750206248
13,4,234,False,2.9999700002999967
14,8,208,False,3.999960000399996
15,2,165,False,1.9999800001999979
16,3,236,False,2.9999700002999967
17,3,261,False,1.9999800001999979
18,3,118,False,1.9999800001999979
19,4,395,True,3.9999600003999958
20,4,27,False,0.9999900000999989
21,3,152,False,1.9999800001999979
22,4,169,False,2.9999700002999967
23,3,76,True,1.0499898751003114
24,3,121,True,1.099989750100624
25,2,113,False,1.9999800001999979
26,2,97,False,1.9999800001999979
27,2,196,False,1.9999800001999979
28,7,270,False,3.9999600003999958
29,6,281,True,3.9999600003999958
30,2,184,False,1.9999800001999979
31,2,265,False,1.9999800001999979
32,6,159,False,1.9999800001999977
33,2,274,False,1.9999800001999979
34,2,125,False,1.9999800001999979
35,5,130,False,3.9999600003999958
36,2,180,False,1.9999800001999979
37,5,552,False,4.999950000499995
38,4,41,False,1.9999800001999977
39,3,169,False,1.9999800001999979
40,5,182,False,2.9999700002999967
41,4,202,True,2.9999700002999967
42,3,159,True,1.0499898751003114
43,2,304,False,1.9999800001999979
44,3,256,False,2.249978750206248
45,2,168,False,1.9999800001999979
46,5,269,True,1.9999800001999977
47,3,107,False,2.9999700002999967
48,3,61,False,1.9999800001999979
49,5,187,False,2.9999700002999967
50,3,203,False,2.9999700002999967
51,2,167,False,1.9999800001999979
52,9,719,False,8.99991000089999
53,15,200,False,1.9999800001999977
54,2,206,False,1.9999800001999979
55,3,224,True,2.9999700002999967
56,2,201,False,1.9999800001999979
57,3,275,True,2.9999700002999967
58,4,57,False,0.9999900000999989
59,3,171,False,1.9999800001999979
60,7,124,True,1.999980000199998
