order,items,uniqueItems,isUsed,rareness
0,5,3457,False,0.4166645833437499
1,3,6818,False,2.9999700002999967
2,7,19445,False,6.249938750606243
3,4,7095,False,2.9999700002999967
4,3,10938,False,2.9999700002999967
5,3,5555,False,1.1999890001049989
6,5,8826,False,1.0416565626002594
7,3,6442,False,2.249978750206248
8,2,5013,True,0.49999750001249993
9,2,10213,True,1.1111007408419742
10,3,6152,False,2.249978750206248
11,2,7513,False,0.2704068841170788
12,3,9282,False,1.499987500112499
13,2,4105,False,1.9999800001999979
14,61,63705,False,6.120967996116462
15,2,6496,False,0.49999750001249993
16,6,3726,True,0.004860061487875702
17,2,7532,False,1.017847117446974
18,3,7327,False,2.9999700002999967
19,10,22821,False,9.015534981368763
20,3,10061,False,2.249978750206248
21,6,1080,False,1.4166545834437487
22,2,8347,False,1.9999800001999979
23,4,12297,False,0.1249203943390901
24,3,5418,False,1.499987500112499
25,7,9824,False,3.9999600003999958
26,2,5013,False,0.49999750001249993
27,16,25016,False,4.0905858811428475
28,4,16666,False,2.499977500212498
29,3,9973,False,2.0083133252000063
30,2,5165,True,0.09027757523194928
31,5,11070,False,1.9999800001999979
32,17,24073,False,4.819400984211734
33,2,8886,False,1.9999800001999979
34,4,10016,False,2.9999700002999967
35,2,7742,False,1.9999800001999979
36,10,18025,False,3.1683196121611834
37,2,6292,False,1.9999800001999979
38,2,8644,False,1.249988750106249
39,4,9592,False,2.277756574279473
40,2,8718,False,1.9999800001999979
41,3,11713,False,2.9999700002999967
42,5,12199,False,1.0995136379763402
43,3,3148,False,1.0051182012834339
44,2,10625,False,0.028845494178594357
45,10,5552,False,0.999990000099999
46,2,4075,False,1.9999800001999979
47,10,22917,False,7.222482169945736
48,2,8962,False,1.9999800001999979
49,5,17170,False,4.249958750406246
50,3,3182,False,0.14285666666825397
51,4,16682,False,3.9999600003999958
52,2,4789,False,0.004129717983425252
53,3,8384,False,0.32638746528444007
54,3,10900,False,2.9999700002999967
55,3,5714,False,2.9999700002999967
56,5,12099,False,2.499977500212498
57,3,10068,True,0.10562476179742686
58,3,2134,False,0.5833304166812499
59,2,7209,False,1.249988750106249
60,4,7395,False,1.3124885938566395
61,3,12179,False,1.9999800001999979
62,2,2064,False,1.9999800001999979
63,27,40365,False,3.706550367918726
64,11,16515,False,2.0925771657649532
65,4,6613,False,1.9999800001999977
66,4,7680,False,1.9999800001999977
67,4,9555,False,0.349998500006875
68,5,12835,True,3.3124685940566376
69,2,804,False,1.0624898438503896
70,3,7335,False,2.9999700002999967
71,5,11077,False,3.3610794910482222
72,6,23812,False,5.001633501248218
73,3,8296,False,2.9999700002999967
74,2,4551,False,1.249988750106249
75,5,17243,False,2.499977500212498
76,21,34665,False,9.999900000999988
77,3,12245,False,2.9999700002999967
78,2,11555,False,1.9999800001999979
79,2,3113,False,1.0624898438503896
80,7,18182,False,2.9464038395093732
81,2,5318,False,0.49999750001249993
82,5,20386,False,3.2703768844170757
83,2,6662,True,1.0005730903124106
84,2,5850,False,1.9999800001999979
85,3,4199,False,2.9999700002999967
86,5,12187,False,4.999950000499995
87,4,14857,False,2.499977500212498
88,10,19409,False,2.5955107861834796
89,3,10152,False,1.333321666774999
90,6,9238,False,3.249968750306247
91,2,6487,False,1.9999800001999979
92,3,3631,False,2.0103966538458473
93,2,8471,True,1.0624898438503896
94,5,19821,False,4.249958750406246
95,8,11729,False,3.9999600003999958
96,2,2866,False,1.9999800001999979
97,5,6685,False,1.9999800001999977
98,5,15829,True,0.7313098814964596
99,2,10826,False,1.1111007408419742
100,3,3931,False,2.9999700002999967
101,2,8810,False,1.249988750106249
102,4,9679,False,1.3632362417978925
103,2,8812,False,1.039989920100159
104,3,10653,False,1.249988750106249
105,2,5669,True,1.249988750106249
106,2,9083,False,1.9999800001999979
107,2,9418,False,1.9999800001999979
108,6,17307,False,4.333291667074996
109,18,30893,False,7.341848101376932
110,6,20824,False,5.2499487505062445
111,6,1795,False,0.08571411428605716
112,2,3937,False,1.249988750106249
113,7,22068,False,4.316625283739846
114,4,12021,False,2.9999700002999967
115,2,6593,False,1.249988750106249
116,4,10740,False,3.166635833637497
117,4,5750,False,1.2526342512820288
118,12,1957,False,0.33480920763573024
119,3,6933,True,1.0651214214127172
120,2,2174,True,0.07283927709265509
121,2,4785,False,1.0003206878617934
122,2,6639,True,1.249988750106249
123,3,9354,False,1.3610994908482243
124,2,9908,True,1.0109789953904453
125,3,8356,True,1.3124885938566395
126,2,5611,False,1.0123356653949387
127,17,16165,False,5.432867110138038
128,3,10466,False,1.039989920100159
129,6,14953,False,5.111060741241969
130,2,9401,False,1.9999800001999979
131,2,6213,False,0.28999867000641
132,2,9505,False,1.9999800001999979
133,2,9838,True,0.06308293396280218
134,2,8418,False,1.9999800001999979
135,2,6020,True,0.022582046067351105
136,3,12202,False,2.9999700002999967
137,3,11750,False,2.249978750206248
138,3,9290,False,1.265140240005281
139,5,10106,False,1.9999800001999977
140,3,9667,True,0.04139024950468027
141,2,6396,False,1.249988750106249
142,2,5161,True,1.9999800001999979
143,7,19784,True,2.196743094030962
144,4,7041,False,0.006253003008163433
145,5,866,False,0.4166645833437499
146,2,10051,True,0.07484550904533042
147,3,8007,False,1.0840637961503077
148,2,5162,False,1.9999800001999979
149,2,6840,False,1.9999800001999979
150,2,3336,False,0.49999750001249993
151,3,11151,False,2.0005246623076394
152,5,8775,False,2.333311666874998
153,4,10925,False,2.009239249171203
154,4,11656,False,2.1125337416978316
155,2,6208,False,1.9999800001999979
156,5,20650,False,2.6249768752156233
157,2,5641,False,1.0624898438503896
158,2,5159,False,1.9999800001999979
159,4,12615,False,0.5399974200126599
160,2,3728,False,1.0624898438503896
161,15,35699,False,6.659659190429083
162,2,4095,True,0.2704068841170788
163,8,7354,False,2.3749782293752584
164,16,30799,False,7.197151479869766
165,2,6485,False,1.0833230556564803
166,6,5847,False,1.4166545834437487
167,4,10475,False,1.074989850100299
168,3,10151,False,2.9999700002999967
169,2,5796,False,1.249988750106249
170,2,6382,True,1.0024899988499996
171,3,13131,True,0.2072488435500715
172,2,6842,False,1.9999800001999979
173,6,12048,False,4.131904022392101
174,8,17451,False,3.0511021593920935
175,5,6317,True,0.40032868777179453
176,5,6676,False,1.016564647833379
177,8,11716,False,2.9999700002999967
178,2,9585,False,1.249988750106249
179,12,15616,False,2.291645312706508
180,6,20946,False,5.062449844250385
181,8,8792,True,0.5195837072719384
182,3,14022,False,2.249978750206248
183,4,4408,False,1.3749881251093738
184,3,12392,False,0.35666511445159516
185,12,18529,False,3.74996652809421
186,12,11952,False,2.1999790002049977
187,7,16869,False,6.249938750606243
188,3,8561,False,1.099989750100624
189,2,7974,False,1.249988750106249
190,2,9296,True,0.06277396650029927
191,17,32213,False,2.5809077419030415
192,2,6576,False,1.9999800001999979
193,2,2323,False,1.9999800001999979
194,6,16326,False,2.0927407661374864
195,3,15250,True,2.0066466602000044
196,5,5635,False,1.0703602420755438
197,2,8277,False,1.0624898438503896
198,4,16437,True,0.24578296107090059
199,24,33617,False,5.491311113260235
200,6,16024,False,2.1573869523618354
201,4,7167,False,1.9999800001999979
202,3,6745,False,1.9999800001999979
203,2,10764,False,1.9999800001999979
204,2,9336,False,0.3124985937566406
205,4,2474,False,0.9999900000999989
206,3,14483,False,2.9999700002999967
207,15,19440,False,4.346624978186144
208,2,7284,False,1.0138788716277984
209,5,11502,False,0.17965302777026376
210,2,5616,False,1.166655833437499
211,5,15479,False,3.3610794910482222
212,3,12420,False,1.2703968842170776
213,4,8373,False,2.249978750206248
214,2,7313,False,1.9999800001999979
215,7,25465,False,5.2499487505062445
216,7,14864,False,2.3666454446485163
217,6,15686,True,1.6450488049835026
218,2,2952,False,0.03925042187845576
219,2,6946,False,1.009080900100008
220,5,10641,False,3.9999600003999958
221,4,12592,False,2.333311666874998
222,3,2655,False,2.9999700002999967
223,5,8381,False,1.0793548602669536
224,8,15832,False,3.9999600003999958
225,4,15725,True,0.2672752630671572
226,2,8711,False,1.166655833437499
227,4,11602,False,1.2499890741776225
228,11,4789,False,0.01912970798343192
229,2,8745,False,1.249988750106249
230,3,10134,True,0.17419367470477748
231,10,14185,False,3.3610794910482222
232,2,10645,False,1.9999800001999979
233,11,1837,False,0.02709357670655851
234,3,7578,True,0.14152004978586155
235,4,7152,False,1.9999800001999977
236,3,8611,False,1.1111007408419742
237,6,20317,False,4.999950000499995
238,3,12066,True,2.9999700002999967
239,4,13010,True,3.249968750306247
240,2,5836,False,1.039989920100159
241,4,6546,False,2.9999700002999967
242,3,12613,False,2.0009941986332356
243,2,5662,False,1.9999800001999979
244,19,26091,False,2.8084179620943464
245,19,11758,True,0.5631333209203006
246,6,326,False,0.13333288889037037
247,7,11832,False,6.999930000699992
248,3,14846,True,2.9999700002999967
249,4,13763,False,3.0021439122565194
250,3,3779,False,2.166645833537498
251,3,9345,False,0.25239141802671383
252,16,39950,False,4.969409193415091
253,2,5829,False,1.9999800001999979
254,2,5456,False,1.249988750106249
255,2,9298,False,1.0005730903124106
256,7,11331,False,1.516654194556434
257,4,5347,False,1.9999800001999979
258,22,25880,False,2.32557781083143
259,4,13276,False,3.9999600003999958
260,2,3833,False,1.249988750106249
261,4,4832,False,1.0910612152790753
262,4,20122,False,1.12596847683242
263,3,8998,True,0.06362759607044366
264,2,3673,False,1.9999800001999979
265,2,6164,False,1.9999800001999979
266,5,12821,False,3.9999600003999958
267,2,10569,True,1.249988750106249
268,8,8506,True,1.9999800001999979
269,7,5772,False,1.0714182143874988
270,4,18157,False,3.249968750306247
271,7,4252,False,2.1041463196456
272,5,13703,False,0.14888002056957922
273,3,7658,False,0.09723164416596086
274,8,11427,False,2.9999700002999967
275,2,6965,False,1.9999800001999979
276,8,12533,False,2.249978750206248
277,6,12612,False,4.017817117746971
278,3,6242,False,1.066656533433599
279,2,3755,False,1.0129769945341627
280,6,10398,False,0.4186285532074789
281,5,13915,False,2.9999700002999967
282,2,7116,False,1.1111007408419742
283,3,9692,False,2.9999700002999967
284,4,9017,False,2.9999700002999967
285,4,18011,False,1.1340805876007891
286,11,5241,False,2.333311666874998
287,15,16533,False,4.0999595004024965
288,11,9677,False,3.9999600003999958
289,3,12121,False,2.0555353705709853
290,27,35823,False,6.753640449688879
291,3,7032,True,1.9999800001999979
292,5,9295,False,1.9999800001999977
293,6,13754,False,2.05183175452117
294,3,7981,False,1.249988750106249
295,20,4306,False,2.4166445835437482
296,4,9423,False,3.9999600003999958
297,4,10010,False,0.2622214014841106
298,9,16785,False,3.4330992854064157
299,2,4662,False,1.9999800001999979
300,9,8931,False,4.166625833737496
301,12,14407,False,3.4610792910486223
302,4,1416,False,1.010090998977677
303,2,12083,False,1.9999800001999979
304,2,6008,False,0.1037411896673103
305,4,18739,False,1.025313432612897
306,7,5573,False,2.9999700002999967
307,5,13356,False,4.249958750406246
308,3,11096,False,2.9999700002999967
309,3,11573,False,2.0416465279782385
310,2,5557,False,1.9999800001999979
311,2,4886,True,1.249988750106249
312,6,7396,False,2.3749781252093727
313,2,6618,False,1.0005730903124106
314,3,4398,False,2.9999700002999967
315,2,8322,False,1.0043190004935483
316,4,8802,False,1.1162289420254092
317,3,5336,True,1.2623344154011886
318,3,12331,False,2.9999700002999967
319,7,13529,False,4.270366884517074
320,5,19897,False,1.334771222879946
321,2,9259,False,1.9999800001999979
322,6,18383,False,5.2499487505062445
323,3,2525,False,1.333321666774999
324,4,14095,False,2.9999700002999967
325,2,9725,False,1.9999800001999979
326,19,20177,False,2.6189195166857773
327,12,39349,False,6.333276667199994
328,2,3438,False,1.9999800001999979
329,9,22345,False,8.00472768940946
330,2,5080,True,0.2503294377680445
331,10,17219,False,3.2721909354914933
332,4,7734,False,0.05984839722235615
333,9,18990,False,6.083272917268744
334,9,9375,False,1.1041237301969693
335,3,6138,False,0.03896098330249139
336,2,8001,False,0.3333316666749999
337,2,7840,True,1.0003206878617934
338,2,10994,False,1.9999800001999979
339,9,23165,False,5.133282889390365
340,3,8722,False,2.010080999077676
341,4,8454,True,1.0861537421682756
342,8,24770,False,1.5995227415311088
343,8,13875,False,5.062449844250385
344,6,10146,False,3.0356841967287913
345,4,11591,False,3.008303325300005
346,4,7108,False,1.2499887501062488
347,2,5105,False,1.9999800001999979
348,5,21349,False,4.249958750406246
349,6,11784,False,1.4199879601100789
350,2,4219,False,1.9999800001999979
351,5,8081,False,3.249968750306247
352,2,10762,True,1.249988750106249
353,5,14898,False,1.1005379956004413
354,2,3308,False,1.9999800001999979
355,2,5079,False,1.9999800001999979
356,5,15886,False,2.252435949395344
357,2,6941,False,1.9999800001999979
358,5,10707,False,3.0285413717286827
359,4,10752,True,0.01142258279169306
360,2,4270,False,1.249988750106249
361,2,8516,False,1.249988750106249
362,5,15913,False,2.3833115418753104
363,3,7884,True,1.12498968760078
364,3,5191,False,0.048979505539514544
365,6,10401,False,1.3749881251093738
366,3,11279,False,2.249978750206248
367,8,14954,True,1.5118925045325091
368,4,17266,False,3.9999600003999958
369,3,14145,False,2.249978750206248
370,2,4811,False,0.3333316666749999
371,6,12331,False,2.0905316171638
372,3,13284,False,2.9999700002999967
373,2,5385,False,0.49999750001249993
374,3,11979,False,2.9999700002999967
375,3,3137,False,2.9999700002999967
376,2,6745,True,1.9999800001999979
377,4,15142,False,1.2510036133499847
378,2,3767,True,0.09027757523194928
379,2,11122,False,0.49999750001249993
380,2,3493,False,1.0624898438503896
381,2,6589,False,1.249988750106249
382,2,5120,False,0.11944406574198363
383,3,13911,False,2.249978750206248
