order,items,uniqueItems,isUsed,rareness
0,5,138,False,4.999950000499995
1,2,88,False,1.9999800001999979
2,4,63,True,1.9999800001999977
3,4,120,False,3.9999600003999958
4,2,57,False,1.9999800001999979
5,2,58,False,1.9999800001999979
6,2,40,False,1.9999800001999979
7,4,62,False,3.9999600003999958
8,6,63,False,2.9999700002999967
9,8,259,False,7.999920000799991
10,7,66,False,2.9999700002999967
11,7,220,False,6.999930000699992
12,7,111,False,3.9999600003999958
13,2,109,False,1.9999800001999979
14,5,137,False,4.999950000499995
15,4,120,False,3.9999600003999958
